date,review,rating,isEdited,title,userName,developerResponse
2023-07-23 04:53:24,"Can I just say, as someone who doesn’t have a car and relies on Lyfts and Ubers, and uses it to get back and forth from work. In this economy it’s literally impossible for a 20 year old to save money and getting a car. I grew up poor so it’s not like I could be gifted a car. Nobody is able to give me rides to and from work everyday. Uber you have literally saved my life during times I was struggling most. When I had not even a penny to my name and being consumed in debt. There was always one day where I couldn’t get home. Both of those times I thought I ran out of options. Thinking I’d have to walk 4+ hours home. Knowing I didn’t have a dollar I’d try Lyft, they couldn’t help me. I was super sad and thought all hope was lost. Then I’d tried Uber, it’d say the payment didn’t go through. But on those occasions even when I already had to pay uber back they allowed me to get home. Giving me hope and time to redeem my debts. I literally cried both times it happened. Once in 2020, when the buses stopped running on new years and it was freezing and my clothes were soaking from work, y’all were there to help me out in my time of need. And today, where I’m in a very similar predicament, and thought all hope was lost, y’all were there, to lend me a hand. Thank you so much.",5,False,BEST APP EVER,Will Taft,
2023-03-13 04:37:49,"The minutes shown when you are waiting are wildly inaccurate from reality from my recent experiences. Had a trip where the car was shown after a driver was assigned, to be 3 minutes away. Well two cancellations from drivers later, and another long wait in the cold, the car arrived over 30+ minutes after the first quoted ETA of 3 minutes.  This has happened multiple times.
I have also had several white knuckle moments because the driver had insufficient skills on top of complete unfamiliarity with the route and no ability in speaking or understanding any English.  This causes many problems and has become a critical safety issue when for example a driver made a u turn going the wrong way into three oncoming lanes of traffic on a major four lane artery.  He completely ignored my emphatic alarm because he did not understand a word I said. I expect at a minimum the driver be fluent in the dominant language of the area he is driving in.  I would be equally unhappy to find a taxi driver in Italy who did not speak Italian.  Unless you want to provide a language rating this is unacceptable when my life is at risk in a speeding vehicle with a dangerous driver who may as well be deaf.  I do not care where the driver was born.  But if you are in a business directly interacting with customers in a potentially dangerous service, fluency in English should be a minimum requirement.",3,False,Wait times in app vs reality/Language problems,NoPlanestoSee,
2022-12-23 23:44:26,"Uber is reliable! Met many cool people who can get the job done. Some don’t talk which is fine and very few don’t respect the road. Rides show up on time and get me where I need to go as soon as possible. HOWEVER, this app has good amount of problems. Uber doesn’t do a good job at managing prices. One time this app tried charging me $40 for a 9 min ride home, that’s way out of my price range for a short ride with no traffic and decent weather. Sometimes Uber drivers will make you wait 10-15min then cancel your ride right after. That is the main reason I’m making this review, today just lost 40 min worth of time since I had 3 drivers finish up trips that took around 10-15min and cancelled right after. I could’ve been home within those 40 min I lost. Uber should really do discounts if drivers are going to waste people’s time like that. Also prices are just way out of my price range when it snows. I understand charging more due to weather conditions but sometimes the prices can just be absolutely ridiculous and that’s where Uber becomes unreliable. I love that you can buy bus tickets through this app since it helps save money for how I decide to travel. By all means, DO NOT take this review as an insult! Take this review as criticism and advice to better improve your app and business not just for me but for everyone. Other than that I’ll continue riding with Uber!",3,False,"Overall, VERY reliable. HOWEVER…",GemKeeper87,
2023-02-09 15:02:42,This is honestly the fourth time this has happened to me and I’m about to cancel everything that I have with this Uber app because every time I go to request a ride it’ll always say they will arrive in 10 minutes no but then you have the drivers sit in one spot for 15 minutes not even driving or moving to come pick me up from the location. I had to cancel it 2 to 3 times to find someone who’s competent enough to actually drive and pick me up and take me to my job. I am now going to my job late because one of your drivers decided to sit at a Walmart parking lot for six minutes instead of driving over to pick me up. I am now going to get in trouble with my boss because of this and this is not the first time this has happened. This has happened multiple times with different drivers in a certain occasions it’s with the exact same driver. How can you come and say that you are a company that cares about the customers and yet you have drivers who will sit in the parking lot for 10 minutes and here’s the funny part about that after I canceled it Uber decided to give them my money even though they never picked me up they never did their job. They just stayed parked in a parking lot so now I lost money because of it,5,False,Stolen Money from driver that never came,Birdbrain05,
2023-01-21 13:59:06,"Uber drivers deserves equal opportunity in Old San Juan San Sabastian festival which is a 4 day festival held this year 2023 from January 18th - 22nd. Their Uber drivers were not allowed inside the general station area as other local taxi drivers were allowed to do. I see this as being bias toward one fleet of operators such as Uber. This is an annual systemic problem here for Uber drivers and should really be addressed to the mayor and governors office while other local taxi’s are allow inside Old San Juan many of these drivers look like people from a 3rd world county that cannot take on a normal conversation and suspecting that they are illegitimate taxi operators, something smell fishy here which I suspect that many of the taxi operators are leasing their operating licenses to immigrants. In addition there is no transparency and usually wanted to charge me double the price for my commute from Old San Juan to Isla Verde Another concerning issue is that many of the municipal buses at the Old San Juan Depot stop operating at 9:00 pm during the San Sabastian Festival that lingers on until 12:00 minight or so, doesn’t make much sense to me as you have hundreds of thousand people and tourist here to enjoy the festivities. I urge Uber to address these issues to the governors and mayors office of a democracy. Edwin Cosme from Brooklyn NY - Uber se llevanta!",5,False,San Juan Puerto Rico,Edwin Cosme,
2023-04-11 20:32:11,"I never make reviews but Uber has helped me a lot ! whenever I don’t have rides home from my parents i usually go to the Uber app it’s like my back up plan. I rarely ever have a ride with my parents because there always busy working. But one day I ordered my Uber to come pick me up at my school. When my Uber arrived I entered the car and they first asked for my name like always and then he asked me “how old are you?” And I was like “16 years old” and he goes on to explain to me that you cannot request an Uber unless you are 18 years or older. I’ve never heard this before but it is in the policy, this was my first time ever getting declined from getting a ride. But my issue isn’t with the uber driver. It’s with uber how are you going to say this app is 4+ in the App Store but you must be 18 technically to order one even though they don’t request for an ID Or nothing maybe I’m mistaken. But also 18 year olds can drive and Can own cars. But teenagers can either not drive or only have there permit. Teenagers can struggle to find rides literally most of my classmates request for Ubers. I understand why it’s 18 for safety but that’s what sharing location is for and the background checks for Uber drivers. Uber should change the age limit to at least 16 years old age maybe even 14 because most highschool students struggle getting rides on time and Uber would benefit from it a lot. (Uber is you see this please consider changing the policy)",2,False,no need for title.,Jennie_1314,
2021-06-10 14:04:48,"I was charged twice for a Uber pass I did not sign up for one was through PayPal and charged to my Wells Fargo debit card and the other was Apple Pay and to my discover credit card. When I was first charge to the PayPal payment format I was refund and I thought everything was okay. Upon trying to use the app again a week later I was forced to pay the the Uber pass charge before continue to confirm a ride and was this charged again. I brought this to Uber attention and they said it was a system error and delayed charged occurred. I provide them with screen shots showing that it was two separate charges to two different cards and instead of returning my money they continually insist that it was a delayed charge. I even explained to them that a delayed charged would all happen on the same payment form not charge a whole new form of payment and a different card, but they still insist I was only charged once even after providing all the evidence of two charges. They don’t care for there customer and the entire time I’m communicating with them it’s taking them days to respond they even sent the same response a couple of times hoping I would not reply. I deleted the app and will never use them again I don’t recommend Uber they are just trying to get as much money as they can. Uber drivers should tell me they want a cash tip because Uber takes to much of the online one. They are just money hungry and don’t care to do what’s right.",1,False,Money Scammers and poor customer service,Nate D. Simmons,
2023-05-11 14:56:55,"I ran out of gas on the exit ramp. I called a tow company who was going to charge me $249 to bring me 2 gallons of gas, so I said no I’ll pass. I decided to Uber to the gas station to get a can and Uber back to my car. Ali came to my rescue and took me to the gas station. I asked if I could order another trip for the return ride to my car or how that works and he said no you can’t specify me I’ll just wait and take you back for free it’s okay. I found $20 in my purse so I gave him that got my gas and he took me back, but the only can the gas station had was 1 gallon so it wasn’t enough to start the car. This is when Ali turned into nothing short of a superhero and took the gas can and walked to the closest gas station to get another gallon. He walked back and we put it in but it wasn’t enough either! He offers to go back yet again and get another gallon. I only had the $20 so I couldn’t even pay him for the gas or the extra time and Uber won’t let me tip him again. I had already left a tip before any of this started. I don’t know how in the world to repay him for his kindness except to leave this review and hope that I get him the next time I order an Uber. He went far above and beyond all expectations and I appreciated it more than he could know!",5,False,Best UBER DRIVER,Metabutterfly,
2023-04-17 22:56:17,"Overall, I love Uber, and the app works well. However, last night in Atlanta, I experienced an event that was exceptionally unfair to the driver, shouldn’t have been able to happen, and Uber completely misunderstood the issue and refunded my money instead of solving the problem.
I took a trip from a hotel to a grocery store and bought one reusable bags worth of groceries, including some bottles of water, so it was rather heavy. Hopped in the car, about halfway into the short trip I tip the driver. Once we arrived at the hotel, I had to kind of wrestle with the groceries to get it out of the back of the Tesla model 3. I grabbed my iPhone off the backseat, and since the Uber app was open, I inadvertently canceled the ride. I didn’t realize this until I got into the hotel and was going to rate the driver. The driver had already left the area. I contacted Uber on the help portion of the app, and I received an email asking me for more information. I detailed the story, and this morning I had an email saying we’re sorry you didn’t make it to your destination, and we’re sorry that you were unsatisfied with the driver. It refunded my money. So, the problem was not addressed, and the driver got shafted.
The app needs a little bit of finessing to have a two-step cancellation process so that grabbing the phone Kent accidentally do it. Thanks.",3,False,Too easy to accidentally cancel a ride,o;idfv,
2022-11-04 23:28:21,"I have have several issues with Uber, but I still give it a chance, I even was involved in a car accident years ago and they didn’t even do anything. Today I was trying to get a Uber since I’m handicapped with crutches due to a surgery on my ankle and is really hard for me to walk, I had to order 4 time Uber because the first Uber I order cancel me because I was with crutches and he didn’t even arrive to the right location and made me wait for 7 min when he was across the street no even sayinf that he arrived, plus he didn’t want to go to my actually location, and cancel the Uber. The second time I order this guys picked me up and then park the car and told me he can’t press pick up and I offer to change the location so he can press pick up after a good minute of waiting he didn’t do anything and told me he canceled the Uber and ask me to request another one and the price by that time has increased and then I ask ok I did it did you take it and he said no, he told me to get off the car and then I realize he took the ride and didn’t cancel after 10 min when he was arriving to my location he cancel and I was on the street a couple blocks down from my original location. I had to order one more time for another Uber with a way more increase price. Is really bad because I try to get a phone line where I can report them but you can the only solution is 5 dollar for the inconvenience and I still have to pay the cancellation fee that Uber driver did.",1,False,Worse drivers,"A.A,A.",
