uuid,date,review,rating
eda1fc5c-0106-4ffa-91c0-e73178f7af75,2022-01-08 02:20:47,Love this app it forces me to save BIG and invest daily with a touch of a button or set automatic to do it...... that’s fire 🔥 👌👍...I use all the features that come With the app the only thing I found that could be better is the costumer service part for some reason I like to speak to a person and handle the issues quick when it comes to transferring money into accounts and retirement plans when I have a question 🤔etc.......the email thing back and forth just delays the process and my questions get answered late I don’t like the waiting 1 to 2 days for a answer 🤷‍♂️..........Besides that i can truly say it’s a amazing tool to use I don’t think I would’ve ever started a ROTH IRA or change my ways of saving and spending if it wasn’t for this app.....ACORN 2050 the futures bright lol,5
0302b00a-faa2-4f6e-9bdb-95076dd27e0f,2022-06-11 00:14:51,I started a dispute because someone stole card and pin and ID and they locked me out of my account until they “investigated” the dispute I couldn’t pay my bills I was late on my rent and car payment because I couldn’t access my money if you use them as only Investments then it’s pretty good but do not rely on them for your main checking account they do not work like regular banks always have a checking account with a physical bank because every other bank I have had people use my card or disputed a charge they would give me a temporary debit card and I was still able to use my money they didn’t keep my money hostage like acorns checking.,1
6643f4cf-8c52-42f7-8a5f-62d9a01ff8e9,2022-10-12 01:54:06,Supposedly they say there a good investment company and saving small change but two years and had they’ve been garbage I used to pay $20 plus round-ups but apparently there’s a line n which they can’t pass especially the $850 range like who the heck kind of people work there and there excuse how the economy like I would assume there smart to know how to invest sadly how disappointed “ Either fire the idiot employees who don’t know how to make money or reimburse people the amount they invested if you can’t more than what they made over a year”.,1
41d1dc20-42d2-4bee-ae9b-b67fc687eeab,2022-03-05 12:12:18,"I actually like acorns investing but for some reason when I download the app it keeps showing when I try to sign in my accounts are being closed but I can access it thru the web browser , makes no sense I reached out to customer service to find why it was like that and they basically were no kind of help they didn’t answer my question or anything just told me it was ok they fixed my issue but what did they fix I don’t understand even on an android device the same thing like will it eventually work or what is going on it’s to much to have to always check my info the the web",2
20a3680d-ce3a-4c88-a079-ca043e611f80,2022-10-04 19:20:21,App is awesome & makes it easier to save but Each time I clicked on my portfolio in the Invest page the app freezes doesn’t even take me to the following page where I can see whats in the portfolio and/or where I can change my portfolio I have to force close the app in order to use the app again but everytime I click on the portfolio it just freezes again I have to use the acorns website to view that information I’m using the iPhone 13 Pro Max on iOS 16.0.2,5
126b4709-f6ad-4093-bdcb-9afa9811f0d2,2023-05-12 13:05:05,It’s so retarded when I first turned 18 I finally got my ID so I made an account and immediately knew something was off when it said something about my ssn either already being used or not existing and I get that this might be cause because I tried making an account before I was even 18 but I tried to fix my mistake after turning 18 and now I’ll literally never be able to use this app because acorn thinks im stealing my own identity.,1
0745c487-365b-412a-aae1-181086b23eb2,2022-06-22 06:56:18,There has to be some sort of a glitch or problem with this App.. never fails I have to continue to verify my linked account .. I’m having trouble entering the correct amount it only allows me to enter them in a “$30.0” instead of “$30.00” … not allowing me to add another zero at the end of each amount asked .. therefore I am unable to verify my linked account please help I have invested savings in this app & I need assistance,1
d52be38b-a97d-4f77-8331-443ebcf65dec,2022-01-16 14:42:09,"The referral bonus is a scam I was required to have 5 referrals for $600. I had all my referrals in before the deadline date and made sure that all my referrals made a 1 time investment because I sent all of them $10 to make sure they did it, what acorn did was waited til the deadline date was over to process my referrals then I wrote a email about it they responded saying the system was backed up by all the entries amd that they were dealing with the problem but managed to complete 3 of my referrals that same day then when I wrote a email again about it they responded basically telling me the requirements for the referrals to be completed which I knew and made sure my ppl invested now it’s a month later an they just now completed the other 2 referrals so o called those 2 ppl to see if they did anything to they account recently and they responded with a no so acorn waited til the date was past due to complete all the referrals and that’s how I didn’t get my bonus because of them",1
1731ed63-6182-41ff-ab0a-4168ed73fd75,2023-01-05 18:54:29,"This is the worst company ever to go thru
I tried to withdraw my money from there stocks and the app said it would take a couple of days to withdraw them so I waited 3 days the money was still in the stock market so I clicked all the buttons to withdraw it again then I go to check on it today and the money is still in the stock market and the stock market just so happened to go down for the EXACT amount that I was trying to pull out I lost all that money so I deleted my account",1
8f3b51da-5942-4647-85f1-166a775435b3,2022-05-06 00:02:10,I’m going to come out and say that sometimes I didn’t have a lot of money in my checking account sometimes and this app has put me in the negative numerous times and as of recently I was only three dollars negative and then my Bank of America charged me a $35 overdraft fee and then acorns decided to pull money out of nowhere and I got overdrafted twice totaling $85 and I have bills coming up do not use this app!,1
6c01c812-6233-47de-949a-b5387fee7c52,2022-01-30 19:26:21,"I have submitted several times my ID and update information to get my Acorn account set up and I continuously get the messages Incomplete in various sections, asking for multiple submissions of my ID after I have submitted my drivers license several times, or the # 0 in areas where there should show $ amounts & not zero.",2
94a6c71a-1429-4144-9928-19f147ad39df,2022-01-21 20:40:40,"Hello I did you 12/18 promotion and I recently just got my 600 starting to transfer and it’s been 6 days and they keep saying that it’s in my account that I have on file and I explained to them multiple times that’s it’s not I’ve sent them screenshots of my transactions , my statements and they seen that I haven’t received the $600 I’m still waiting and I’m getting more and more frustrated as time keeps passing and I STILL have no answers can you tell me when I will recieve my money offer from Dec?",1
97122dcf-94b7-4561-9e1c-e74073f5387a,2023-05-23 22:59:06,After hearing the last ad that this app did about shaming man by saying that woman stock out perform man’s made me laugh what dose that have to do with the market gender has nothing to do with it and after seeing how you do your market I strongly believe I will never used your services,1
b148b832-b0d1-4edb-8e49-0961021fff3e,2022-06-20 06:07:41,"I didn’t finish the whole sign up I was a little worry I did put in my SSN and my account information but once I refresh my phone it started all again, I didn’t want to make a account I’m not sure about this app honestly, I did wanted to invest but not fully sure after seeing these reviews, hopefully none of my information is miss used I don’t want to be charge without putting no subscription",1
e51ff51e-c64b-4f5e-8b67-b887fa22cbeb,2022-05-15 13:19:52,Dear acorns complete please introduce a Dark mode feature the white kinda hurts my eyes if the app produces the dark mode feature I’ll rate 5 stars,4
52306d38-06ee-4b07-9844-6b67c167c439,2023-04-01 13:29:54,This app solely works on desk top computers customer support is no help and lies saying my account and app work perfectly when they try to make me sign up as new person everytime I try to log in it’s a scam to rerun your credit a million times and stupid,1
5e8a4496-e26d-48a3-bb3f-9e0f6409fadc,2022-11-02 21:49:47,They referral system is a scam completely because why y’all take away my referrals after I got 6 people to join and deposit now I can’t check it out or nothing complete scam false advertising and I’m more and likely going to sue don’t download the app the legit is a scam don’t give ppl a referral code then take it away and not give them the money,1
a7817735-0a7a-4bb1-867f-963760454158,2022-12-05 02:05:26,My inconvenience is presented in the link to 2nd debit/Credit card the same I have linked it several times to my bank however the Acorns application remains thinking and does not respond I have not been able to link or deposit to my account I have tried to call technical support it only tells me that I have to wait the days go by and I still do not see the deposit in my account,3
86efb7dd-434f-4f73-8253-623540949bc6,2022-07-12 22:56:44,I started trying to save money n invest then I stopped for awhile just for reasons and after I stopped recurring every Friday for a bit it started taking 5$ away from my bank account without it being recurring so I deleted it so it wouldn’t steal money from me- yeah 5$ ain’t much but when it’s over n over n over I think they just want my money- especially when the money they took didn’t get invested for my acorns account- probably close to 50-60 bucks just gone and didn’t even try to get it back- why? What’s the point I can just invest in a different app that doesn’t take money without asking and not using that money for my investment account which is ridiculous- every time a 5 was deducted I checked acorns and nothing was there every time plus i was a new user at the time so I think it was a bad app for investing unless you want your money taken then sure be my guest. I don’t know if anyone else noticed this but yes if you turn off recurring bill for any amount of 5-20 per week it will start to take it out of your account for no reason and it won’t even be there in your acorns account- sorry but I aint downloading this again if that happens- hope someone sees this✌️ in the end don’t trust most things people say that’s all,1
bf50736e-ea24-4a0e-a74d-a03bc204223f,2023-05-26 05:26:45,"I wish I could give them 0 stars, they DO NOT care about their customers, I had and unauthorized transaction on my acorns checking account for almost $5000, putting me in the negative by over $2000. I called them in a panic, and disputed the transaction, I was assured this was being prioritized, and that I would be reached out to by email about the investigation, which was a lie because no one ever emailed me anything, and after waiting for a month to hear back about my dispute, they decided to tell me I never disputed the transaction, and then took the money out of my invest account, locking in losses and costing me even more money, I have called time and time again only to receive the same bull crap speech each time from a very incompetent employee about how I’m being prioritized only for nothing to get resolved Time and time again, this is the worst customer service experience I have ever had, and I wouldn’t recommend acorns to my worst enemy after this, do your self a favor and invest in literally any other way, don’t waste your time on these clowns, they are crooks!!!",1
f5144847-42ca-4f3d-ba92-00714f5a55f3,2023-08-03 03:13:29,"Haven’t used the app since 2021 and for some random reason I get a withdrawal of $34 from my bank account, this brokerage is probably the worst one you can use and I would recommend Charles Schwab, Vanguard, and Fidelity because Acorns like most shams will not make you any money nor will you get any real gains in the stock market, I will never recommend this brokerage to anyone not even beginner investors and I recommend everyone withdraw your hard earned money from this phony brokerage and get with one that actually makes sense and do your due diligence so you can make more money and keep more money. Because you are just going to lose it with this brokerage",1
7b2a324f-a654-4b61-b460-e7815e4de942,2022-12-30 20:12:30,"I spent 4 hrs on phone with SS office trying to track down my sons survivors benefits.Treasury has sent them but no One on customer service even can look at my account My name is Kaitlynn Kersey,I want some answers!",1
0c10328f-fbd9-4003-8be6-71b53b9f0d09,2022-04-12 21:04:41,Feel that this app or company should be investigated by FBI this people will lock your account and request more information and once you submit the information that they asked for still the account will remain lock the will lock you out of the app to people if you have any type of money on acorns they will lock your account this app is a complete fraud please people be careful with this app and acorns,1
0856dc44-41bd-43a0-b0b4-f3df396c89f3,2023-01-27 23:18:36,"I think it would be better if tax documents could be presented to the participants in a more timely manner, having to wait until 1 March, for a form delays tax returns that I personally am used to returning before the end of January",4
dcd74872-3139-4a25-8766-64a0036e0a83,2022-12-08 23:10:41,Acorns Support I’m very much disappointed in your customer service and everything how can I be dealing with this it’s almost 3 weeks now I submitted everything document you asked for I once got a mail the restrictions was raised on my account yet still I can’t login into my account I regret investing with you honestly.,1
31616d9a-d9ab-4f46-86dc-88d82ce5af1f,2022-12-09 15:55:24,"I have a bad experience with this investment platform,I referred 4 people and they uploaded all the required documents,the investment amount was withdrawn from their bank accounts as well,but they didn’t pay the bonous which they promised,so the conclusion that i got is that this investment platform is not reliable .",1
94f073a2-c20d-4905-ae0d-6fb41a1665aa,2023-06-01 14:33:46,"First and foremost, it is disheartening to see a financial platform like Acorns resorting to gender-based generalizations. It is important to recognize that investment choices are not determined by gender but by individual preferences, financial circumstances, and access to resources. By insinuating that women need to ""get on top"" to outperform men, Acorns perpetuates the harmful idea that women must compete with men instead of focusing on their own personal growth and financial well-being.",1
df912b6a-fc07-4a7a-b6d8-3e2ec5db06fd,2023-10-09 20:17:55,This app constantly offers said incentives to refer friends and fails to provide the referral bonuses upon their sign ups and constantly blasts you with in the face ads for referrals when you log in.,1
814e81b7-fe15-492b-8480-df08ccb55257,2023-03-24 16:27:21,Absolutely awful they charge your account constantly after having turned off all charges in the app and then don’t let you cancel it and the chat support agents don’t help either they had no response as to why I’m continuously being charged and then it doesn’t allow me to remove my card information either which is very scary,1
ce7e29a6-5ab7-48ad-8f29-84cc2145c109,2022-03-08 17:56:29,After locking my checking account from making a withdrawal because I had a change of mind investing with them.why my checking account is still locked I unlinked my account and stop every service over 3 month I still see charges from them on my unlinked account which I have instructed for it closure.,1
6f88f2f6-f7da-4817-95bf-48c2de64b6c9,2022-09-23 02:53:08,"Don’t download the app… there are reasons I’m trying to cancel my account due to them charging $5 per month and they said they would send money to my account and to put in the transaction amount; however, acorns has not sent money therefore I am not able to get my money out and not able to quite the 5$ per month charge….",1
d81be197-a083-4b2e-9c38-ce2863ef74fe,2022-01-24 13:46:45,"I have never seen any worst investing app than this…with all the money they collected from the past one year (1750$) they gave a return of 2$…while last year the SPY gave returns over 27%…
It is better to invest by ourself and move on…
Withdrawing my money…",1
551ff1be-16c2-405b-aaf6-542b27f41c78,2022-09-10 04:58:48,"Highly recommended for anyone looking to get into an easy entry level way to get into investing with exposure to stocks wanting to better essentially zero rate bank savings interest rates. I have weekly deposits for myself, my daughter and my wife’s grand daughter choosing an aggressive investment mix, but you choose your level of comfort for risk.",5
9822460f-932f-43cf-88ea-290c752c1634,2022-04-25 14:53:21,"Acorns is very frustrating and irritating, I enjoy the app it makes me feel like that I’m actually doing something that’s good with my money but there is a problem. I always try checking my net returns and to see how much I am making to get to that it’s very complicated and difficult one moment it’s easy to get to all you have to do is check account value and then the next week you cannot longer check your net returns on account value and when you call the customer service support they never get back to you or email you back and they never seem to know what you’re talking about when you have a problem.",1
5ae7a4d0-6ef6-4f8e-b0d2-bb0f55608e52,2023-08-22 06:38:25,So I’m fairly new and im interested I have to be honest say im overwhelmed with it because I feel like I don’t understand it yet but Im trying to make a positive investment for my future,5
