uuid,date,review,rating
9d9378c5-bc8a-4729-b083-d4bfd0cd2fb1,2023-09-19 23:02:54,"All I truly need is to marry a beautiful wife (not Igbtq)

that's a good lover to me that wont cheat and mother to my future children so I can reproduce naturally and repopulate my almost extinct race and have a good career a safe home and adventures without hate without fear without discrimination or racism without

experiments or harm or torture or dictatorship I wish to live well and free and be able to provide a safe place for me and my family and so we can always eat well and live well live a wonderful life",3
8b946bd1-c4ee-4e9f-93b6-4dcfeb35de3f,2022-09-08 17:46:22,Honestly this app is actually really soild the fact females have to text u first may seem annoying but thinking about it does make sense I mean if u believe in love at first sight then yeah and luckily I do and it’s not just the in app things I like I always read reviews on apps before downloading them and the fact the developers are actually responding is very and much appreciated all I ask is a lot of these apps turn into tinder after such a strong start what I mean is the developers stop caring at some point and eventually the app will have horndogs and bots as king and queen y’all are amazing just keep doing what feels right and also if another developer replies I hope u know ur currently contributing to something good atm just let it stay that way❤️,5
6a2f8ef2-e964-47b1-9383-507ea9190649,2023-06-18 22:26:57,"First, I’d like to start of saying this app goes against biology in  general, women do not like to take the first step to message a man with saying that the lack of swipes shows a lack of attention from women for almost all rates I’ve seen
Used for 1 year only had 0 meet ups, 1 meaningful conversation and about 10-ish swipes
And don’t get me started on the 24 hour setting that is implemented its garbage no one wants to download a app then have to rush to check it daily 
Lastly the amount of swipes you are given is barely a handful and when you can see that someone swiped on you but you don’t run across them kinda just ruins the experience 

P.S Most ppl laugh at bumble and devs should work on changes or watch app die and revenue dry up",1
5a958f74-49da-4a72-b005-3061ec4bcda8,2022-10-30 01:36:25,"I have been on Bumble for over a year and have made first moves and said Hi and supposedly these men liked my profile, but never had response back from most, so apparently they hadn’t paid their membership, so they couldn’t see my greeting… The second big complaint is that I have had over 4 conversations/ connections with men that were using phoney profiles and were actually scammer Nigerians pretending to immediately fall in love with me, but could never do a video call or meet up and within a couple weeks of texting… start asking for money…
Is there anyway Bumble could do a better job at sorting membership or you just let any phoney fake person join, so the rest of us are exposed to scammers…
It is dangerous joining this dating app.",4
d80afe09-6b1a-43a5-9e92-bb2b80b7810d,2021-12-07 05:03:58,I have met so many weirdos off bumble tinder hily is the worst that is where I met two monsters that I thought I would never even meet these two guys are disgusting and sick please look out for your safety ladies & Gentlemens you never know what you can come across off this dating apps and be you don’t change for anyone love yourself as you are better meet ppl throughout close family members or friends don’t trust dating apps or clubs or bars they can drug you in those public places don’t ever let a guy pick you up outside your house please don’t ever go out with someone at night it’s just not safe ladies,1
7e10c3f0-881c-4872-8936-19ba2994e7ef,2023-06-04 18:25:29,This is what I told Kali the very last time she brought Cheyenne home from the doctor well here yews later I am enrolling Cheyenne at boones elementary school coloring her hair because my daughter didn’t listen and got involved with my father and her eczema husband the one I gave s check for 2500 hundreds a divorce attorney son no going back the lkimg of porn is done!,5
9a847521-d472-483a-8afe-41cb86f597a8,2023-02-04 03:31:05,"this is the worst app ive ever used im constantly getting blocked for no reason and when i ask for an explanation i get nothing im barely even on the app and when i do im jus swiping on people trying to find people to talk to ive never done anything wrong so for me to keep coming back on here and seein that im blocked is completely and utterly unacceptable and ridiculous id give negative stars if i could
ive read the terms and conditions and i know i havent done anything wrong that’ll get me blocked and the fact that nobody can give me an explanation is complete bogus",1
91fbebe4-3469-40bf-864b-805c9ccaaeb5,2022-11-06 03:19:53,I do like bumble but just like every dating app..it just cost way too much..you run out of likes and in order to get more you need to buy them ..you need to buy super swipe..spotlight..boost..and don’t get me going on the subscription price really $40 a month..where in the world you come up with the price..way too much for a dating app..cost more then some people’s internet..none of these dating apps can justify why we should pay $40..$10 bucks a month I can see..we might as well save the money and invest it into something that will guarantee our future or off a bill..I am mind blowing that nobody even talking about the prices..so people get out of your own way and save this money be confident and find your own date it will be worth it since there are a lot of fake profiles..we should not have to pay to see our matches what a scam that part is,1
9a707343-e475-42ad-be9f-5050494a7398,2023-08-06 21:33:27,I love this app a lot because it’s free message and plus I like the speed dating it’s amazing for people for looking for the right person for their future and it’s app it’s the perfect app for me I like what I see on here and I also like about it is 25 likes that’s amazing deal and I have a disability and my reason to join this amazing app is to find the right person for me but so far I have some rejections from the ladies and I enjoy it because I’m learning more about it and so far my part of this app is the speed dating that’s the best thing for me and I also like to swap right or left on here it’s super easy for me to do I’m really happy that I have join this app and it’s safe and secure and happy to use in general I think everybody should use this amazing app,1
9a08d95d-480a-40f0-a5e4-66f7e19bab3f,2021-11-23 12:04:39,"✨Don’t waste my time swiping right if you’re intention is to remain Quiet , 
It doesn’t have to be about “ making the first move “ - if you see a man you’re attracted to wether virtually or in real life , make him aware of your interest in him - simple as that 
______________________________________
This was my bio before what seems to be the entire body of women on the bumble platform reported my page for
 “ bad behavior “
 why’s that ? 
Because I understand that the nature of a woman isn’t to approach a man ?, I simply hold them accountable for their actions respectfully and get blocked with an existing subscription which I’m sure is a waste being that I won’t be refunded the money 

✨To all my kings reading this : 

- focus on yourself 
- delete all dating apps (especially bumble because like I said , it only conveniences the community of women who wanna feel some sense of empowerment being given the right to “ make the first move “ ) 
- approach women in person 
-go to the gym - work on your physical attributes 

and meditate 🧘🏾 

Not bashing this app 
but the creator herself knows 
exactly what I’m talking about 
In everything I’ve stated above 👆🏾 

Peace & Love",1
