uuid,date,review,rating
98f0b5a4-6b99-4ded-80c8-ce7b16bc1bc8,2023-03-16 15:17:17,"I ve been meditating since many years since i was so young and i ve learned everythings the hard way and i ve achieved do many spirtual expriences that requires alot of effort and time , when i ve seen this app i was not sure about trying it but after trying it its worth it for real , the exprience that gives you is so good specially for those who never meditated even me who i consider my self an advanced level in this , having this beside you is so helpful we all need human interaction no one can live alone because it will be so dry but this app gets you the good people who are meant to be your virtual environment but this must be helpful for soothing your meditation journey and it includes many other options, you d better try it so you understand what you we’re missing",5
aa221f30-d36d-410f-bdd1-a02e1455e51c,2023-05-29 07:59:31,I use headspace everyday and love it enough to leave a review if you’re just dipin your toes into meditation I recommend headspace heavily they have great sleep meditation like no joke it might as well be chloroform because I’m out like a light straight up goin mee mee mee mee like haw shoo haw shoo in a couple minutes it’s pretty good I recommend Salon Nights and Sun Down Place Rainy Day Antiques is real good to,5
61c40885-b930-4bb4-a59f-92a0b5e85a0a,2021-12-16 02:35:22,"So here’s why I don’t like this app this might be short so yeah I don’t like this app because It asks for private information it asks for your first name and your last name it asks for your email address and I was told you should never tell that stuff to the internet or social media and people and to help you sleep and do meditation you should not even have to do that just for harmony of sleep so I’m sorry headscape but this is bad in my opinion and I don’t like it

So I looked at the beginning and it said it would be short but I looks long so yeah",1
6084d23f-dffb-4c13-a05c-161e71e61155,2023-04-26 22:22:56,My mom has been using this app for id say three years to cope with anger and improve awareness I haven’t seen much if any difference in action that I can correlate to this app she’s asked me to try it a few times but I just find it frustrating I give one star for easy to use two stars for the fact my mom likes it and three stars because I like the little animations they have to explain their fun,3
779fd36f-515b-4fd7-b020-8145ef05bebd,2022-04-23 23:29:48,I like the concept of the app and that is good with the cute little characters and everything but you can’t do anything unless you pay and you keep saying this trial that you can do like that but I like have that for a week and I don’t understand how this is going to help the average person who would want to use this app because you have to pay for everything you have to pay you for the basic meditation thing you can do except for the week up thing and that’s it you can’t do anything else there’s nothing else in the ad that you can do it’s a great concept but I wish you would have more things that people can do without having to pay,1
767324ec-f4ab-4bca-bc48-2bcfa8352010,2021-12-16 06:17:00,"I first started using headspace around 2019 and it wasnt that bad but now i just have realised how unworthy it is.You literally have to pay for everything first of all.Then second its way to expensive,Ontop of that you have to put in credit card info for a free trial.Dosent that seem sketchy enough?",1
531c6c5d-0426-4bbf-b5a0-2485092f1005,2021-12-23 03:15:09,Headspace is amazing but it costs money it’s helps a lot .But  for pepole like me   I can’t I have a discount on a different app so I won’t  pay money for this one till the discount ends  but only headspace have stuff for kids that my kids love  so if my kids I can’t sleep at night or I need to calm down  they cant before the was one thing to listen too or to meditate too but there isn’t they made it all cost money I think headspace should make at least one  story or one meditation .,3
67828987-2247-4400-8b4b-ad43029d1aab,2023-05-31 16:40:22,"Sam Harris aka Ben stiller pre Hollywood actually nailed it with this app easy to use and will teach you the basics of meditation until you find yourself doing it without the app, thank you and good luck in your next Dinero movie",5
0014104f-60a2-4bb9-8b4c-1897f29c6e54,2023-05-19 02:27:18,"Nothing is fee I’ll just try YouTube but nothing is even free I looked I need something to sleep ;-; like music or anything but nope you have to pay a subscription for it when you could just look up white noise on YouTube or calming rain sounds on YouTube or lucid dream music for sleep on YouTube, seriously… I have insomnia",1
3bd6f28d-c320-4205-beb3-54444a65e457,2022-08-09 03:08:13,"I think (or at least in my opinion) that Headspace in an absolutely great app!I love the narrator’s voices and the charming illustrations as well in the variety in the meditation’s,sleepcasts,ect.I 
would definitely suggest this to anybody who needs a goods nights sleep or would like to try meditation.I am positive on saying that this is a 5 star app.",5
c7506adb-5df6-47a5-b3cf-7c01e7ac7686,2021-12-12 18:21:44,I’ve heard a lot of great things about Headspace so I decided to try it I am a firm believer that meditation should be free to anyone but when I went onto Headspace every single meditation I had to pay for it so hard to find at least one free one but I couldn’t every single meditation cost in money or you had to subscribe definitely not worth download I’m going to try and find a free meditation app,1
3fecd8c0-c34b-4dfa-ba32-9124f0432823,2022-01-24 15:31:19,They are good but they need to make a motivation system where you get space coins and can exchange them to dress up you character or something as well as sleep stories like Casper or calm or soothing pod as examples thank you and please take these in consideration,5
2ab97b0d-87af-4383-8e9f-320eeb1dc29e,2022-08-19 01:47:48,"I bought monthly subscription yesterday and it is not letting me play any of the subscription member sleep story stuff, I am very angry about that and it’s like 8 PM here and I really want to play some subscription headspace sleep stuff and it won’t let me it’s saying that I do not have a subscription when I paid for one, please help me on this if no one does and I am going to uninstall the app and about like tomorrow or the day after",3
c0ae94c0-e615-4a94-a5fe-5dfea6fe5445,2022-02-18 13:07:25,"I am 15, dealing with anxiety and my teacher recommended me this app but since I don’t have a job yet I can’t subscribe to listen to the audio and relax, She said there were like these free meditations daily if you weren’t subscribed but I can’t find them, also the app looks nice and relaxing, I thought this would be grade to cope with my anxiety in a good way finally but I have to pay to listen to them",3
9c0cf21d-9602-486a-9b09-4e6b64a509b1,2023-05-17 13:53:59,"An excellent daily practice of meditative mindfulness, awareness and clarity in stopping and taking a relaxation reset of body, mind and spirit in the direction of the intention to practice the presence of peace in each moment throughout the day. Truly inspirational, renewing and invigorating in the continual pursuit of peace, love and understanding, with an emphasis on moving beyond tolerance toward allowance… and a consistent improvement in connecting with Source.",5
38d6bb44-e82b-4d23-98ad-8f5781686674,2023-09-04 05:15:46,"I’m 10 and I suffer with with emetaphobia (fear of vomiting )  my parent found out about this app so they started using it to try it out and they absolutely loved it my dad says the first 2 min he listens to the rain radio he falls asleep immediately so then my parents suggested that I should try it and before I used it I would wake up exhausted because I could not fall asleep but now I fall asleep write away and I feel so much better  especially in the morning. I think it’s really worth it

Ps:one of the best sleep casts in my opinion is rainday  antiques or rain radio (that’s the longer version).",5
d7d27e84-7a1e-49a5-a25a-088572bbdbe3,2022-07-16 07:24:09,"Hey, the recent thing I used since august 2021 is now a free trial even know it wasn’t like everything is only just free trial, today I git a game that I want to play again but I can’t stop thinking about it and I couldn’t sleep, I hav eint issues sleeping right now",1
b841259c-8dc1-44ed-86b0-638b4ffd349e,2023-10-19 02:29:57,i used to really love this app for meditating and would always use the free basic guided meditation but to make a long story short i stopped using the app for a bit and just recently wanted to get back into meditation only to see that literally EVERYTHING is paywalled like i am not exaggerating unless you want to spend 12.99 a month don’t even download it,1
c3a1ba8c-7ede-4e3f-9c2c-e8d72e5727bd,2022-02-01 03:11:21,This is an amazing app it helps you fall asleep realese anxiety stress and also has wake up meditations can also help you feel motivated even if u don’t have a luxury life or don’t have many fancy expiriences I’ll make you feel like a productive perfect person.,5
2de335a4-89dc-434c-bd5f-726869dbb212,2021-12-12 07:37:43,I had this app for a while 6+months suddenly got a message when opening it that it no longer provides free content… yet it’s still showing up free like you be able to do more with it then just and a little square dot to your phone… was very bummed about this:( was useful while I was able to use it though,3
0327a2fb-32e8-4453-bacd-52c182a5d79d,2022-01-05 16:29:06,"I have been a subscriber to Headspace for quite a while now but am planning on finding a different app due to recent “politically correct” content that I find inappropriate and offensive. 

Martin Luther King Jr. famously hoped that his children “would not be judged by the color of their skin but by the content of their character.” In contrast, it would appear that Headspace has now jumped on the “woke” bandwagon that EMPHASIZES  skin color, offering a platform to those who favor “people of color” over “privileged” white people.

In particular, I’m referring to “Rachel” and her “Acknowledging Our Privilege” so-called meditation. Instead of focusing on gratitude, acceptance, kindness, and how much we humans have in common, this woman is negative and divisive, ruminating about those who have privilege and those who don’t. She apparently craves a utopia in which we all happily end up at her “finish line” simultaneously. Anything less is the fault of “privilege.” And, in the midst of this thinly veiled rant, she admiringly quotes a member of Black Lives Matter, a self-avowed Marxist organization that is anti-white and anti-Semitic.

My “privilege” has also included heartache and hardship, and only 80 years ago my people were tortured and murdered in the worst genocide in this planet’s history. Instead of stereotyping individuals as disadvantaged vs. privileged, Rachel might want to meditate about her own intolerance and racism. I will not be made to feel guilty or ashamed because I happen to be white, and I resent bringing identity politics into what is supposed to be a positive, helpful app, not a fixation on victimhood and unfairness.",3
39b04449-2b4c-4d2f-8a32-e37012fd83db,2023-05-22 00:51:55,So I wanted to change the way I was living so I downloaded this app…I was surprised to see that I needed to pay money to get rid of my anger issues… I don’t have a credit card and my parents would say “no.” So hence the 1 star review.,1
a8f5b6c5-0567-4f42-9e9a-f53a79964543,2021-12-31 12:09:26,I’ve never used meditation before but just doing these two exercises I enjoyed it and I think this will be very very useful in my every day life I have Tourette’s syndrome and stress is one of the key factors that brings the tics On I know I need to learn to relax,5
ec1b1c8c-0021-4a19-8dfb-a83ee8ccc341,2023-01-23 11:11:16,"Headspace had some beautiful balance between awesome design and great content, also I like the app because it has a balanced approach with teaching basic techniques and at the same time it always afford you the choice from different topic-focused courses, where you can find something individual for yourself.",5
7051482b-0b17-4fe4-8713-f35ee09d6fc1,2022-01-31 04:10:43,The way this app tackles meditation is revolutionary in the way that it allows the user to feel compelled to take on the tedious task of doing nothing for a couple minutes in your day and feeling peace within the mind and the body.,5
4971d8bc-24d4-4fea-af47-07c07d0e123d,2022-10-16 23:56:57,"I have use this app for several days I have taken notes throughout just to see how I feel about this app and how it works. And what are the first sessions, I decided to do a breathing exercise which I realize the instructor was having us focus on breathing from our chest. I’ve done almost the exact same breathing exercise in my abnormal psychology class but then main difference was headspace how do you focus on your chest and breathing through there instead of what we did in my abnormal psychology class which was breathing through your stomach and focusing on there.I have learned through my psychology class that breathing exercises can help people with anxiety by increasing the oxygen exchange which is known to reduce your blood pressure and slow your heart rate these two factors combined have been shown to also release tension that has been held in your abdomen. for example when you were panicking your abdomen tightens and constricts your ability to breathe which often times makes you panic more. Breathing exercises also work because the increase supply of oxygen to your brain stimulates your parasympathetic nervous system which helps promote a sense of calmness throughout you and you begin to calm down. Although some of their breathing techniques are different from what I have learned in my psychology classes this is still an app that is known for meditation and breathing exercises that can really help.",4
e9c3a7c3-ca32-490d-ada4-38bba523bf12,2022-09-19 12:49:43,"Not only is Headspace an app with amazingly accessible tools over a wide range of individually-applicable topics, but they are adding things all the time and extremely active in keeping the app up-to-date with current situations and circumstances in the world on a general level. The Daily Wake Up is something I do on a regular basis, as well as the Sleepcasts (I personally love Rainday Antiques, Sandy Cove Cottage, and Midnight Launderette, to name a few of the ones that have been around for the longest (like I said, they’re always adding content) In one capacity or another I’m using this app on pretty much a daily basis, definitely worth a shot if you’re looking at getting some non-gimmicky help! As it says it doesn’t substitute therapy but honestly it definitely helps take the edge off. (PS an app to look into for mental health in addition to this one is WoeBot, for anyone interested)",5
571a05b9-f6de-4d0c-b445-444d98b6eadd,2023-11-05 15:09:04,"this app comes free like you can download it for free but don’t think, pressing the exponent asks you if you want to do the free trial that that means that you’re going to be able to do three things on there everything is locked. Do you have to pay the monthly fee or the annual fee if you want to actually do anything on this app so make sure that you have money saved for someone like me who is only a young girl in middle school doesn’t have money like that so I read this app one star because not everybody has that type of money and just needs a good meditation app and this app is not the one",1
2f842344-d5d7-4620-b2ac-47ff8995ec9b,2022-04-01 00:19:39,This is a nasty disgusting terrible app how is it Supposed to help with anger and irritation but u have to pay for a dumb fat robot to speak to u are u kidding me take this off the App Store,1
238dc042-e03f-4b54-a996-ceb9b3543346,2023-10-02 04:32:43,"Before I started headspace I swear I could not sleep at all and when I wake up I would barely have any energy to get ready to start the day until I got headspace everything flipped upside down and It’s really cool good for all ages It has some Sesame Street characters there for the kids and a podcast for everything such as dealing with money,craving,yoga,sleep meditation and even music the sleep to and even If you need to focus of something NO JOKE best meditation app you will ever find!!!👍🏾",5
