uuid,date,review,rating
22e28e57-76f3-407f-9261-57bc6fa60712,2021-11-22 04:02:00,"usually cheaper than uber not cheaper than a cab but more reliable usually a dollar more than my local cab company or 2 with a tip worth a dollar or 2 more if you don't want the aggravation of waiting i use the wait and save  15 minutes before i have to leave some times most of the time it's never more than 5 to 10 minutes when i call a cab they say 5 to 10 minutes i've waited up to an hour sometimes 30hr never less than 15 and then they say do you mind if i stop i've got another pick up really i think lyft could and should work on their pricing late at night prices double inclement weather or busy triple sometimes i think if your a regular customer which i am they should base their prices on the local taxi fares when i say they are 1 or two more than the local taxi that is the best one in our area there are ones cheaper by 3 or 4 dollars but they re a nightmare and are only available certain hours when lyft doubles or triples it's price i do use a cab i've called for a lyft and a 8,9,10.$ride is now 23 $or more than i just can't and won't pay that a little extra is fine but overcharging excessively because someone is stuck is horrendous as far as i'm concerned there's a name for that it's called price gouging most people know and appreciate the service and will tip the driver extra however when that happens you don't appreciate the service and i don't want not to tip the driver so i do and am resentful and mad i even paid for the service all and all it's a great company a great convenience as with all companies could it be better absolutely in general there going in the right direction for me if they charged me 8$everyday every time instead of 9 or 10$ for the same service i would use them a minimum of 2 times a day 5days a week but because of their price changes i probably only use them 6times a week i shop around and only use them when i  truly can't be late or can't be bothered do use them enough to say all in all they re great i wish i i had no disparaging remarks to say about them i think they are on their way to greatness with those couple fixes i would recommend them to everyone and anyone i know i have and do but tell them to be wary and check out their options first sometimes ubers cheaper if they don't mind waiting call a cab if its late or bad weather or heavy traffic ask a friend unfortunately that's my stance i want and wish i could stand 100%behind them and hopefully one day i will be able too that said i still give them 5 stars ",5
27aba3ff-486b-481e-b3fb-982ea86c871f,2023-02-04 01:27:00,My husband ordered a lyft to drop him off at home he put in the address and everything looked good but after he was in the lyft he realized that the driver had stopped 1.7 miles away from our house so he tried to explain to the driver this wasn’t correct but the driver didn’t understand English so he tried to change the drop off on his phone but he received an error and his phone was dying so he got out at the wrong place and walked 1.7 miles in -4 weather when I tried to get in touch with someone over the phone I had to call 3 times the first time I got hung up on so I called again I reached the accident department told the person what happened he transferred me to the safety department who I told the story to and he said that he was going to transfer me to a different department that could help I heard the hold music and then it hung up the third time I called I spoke with the accident department in hopes to get back to the safety department but I was told that I couldn’t be transferred as it wasn’t the safety departments job to help with my issue then I asked which department I needed to go to which the person told me only the app can help me and that there is no one that I could verbally talk to about this issue I told him that I tried on the app but the options given don’t coincide with the issue we were having my husband couldn’t feel his legs when he finally arrived home.,1
f408dab6-974e-4ff9-aad6-0575a9097862,2022-03-14 05:12:00,"their app is not secure
when they impose to leave the app page open

two credit cards as payment method after four rides 
less than 24 hour lyft sent me a notification the credit card set as default declined accepting the fee
lyft automatically breach second credit card which was my personal bank account charged 32.99 stating withdrawal for a lyft rude in san francisco which is where their hq
no way to have any decent lyft customer service reach out 
they instead act like a zelle emailed me more than 3 times to update my payment where i already deleted my credit card information because of their mess
now am without access to my bank account as i had to cancel the credit cards i had on file with lyft because of the unauthorized charges
they have yet contacted me in that regard
lyft snap their fingers and i should say how high

i never trust them 

i just had to use them this week due to an emergency i had to run to the er and other trips affecting me

end of review 
never trust this company 
they enjoy being a mess",5
d939e8b9-ee01-4a7a-aaf5-cbb72a52cdb0,2023-02-09 06:26:00,I don’t know if it’s cause it’s my first time getting scammed but Lyft needs to do a better job protecting the customers that do get scammed my partner got me a ride home from her account with my money my only home right now is just a couch which I’m still grateful but when I left my partner sent me a notification of a 80 damage fee and I told her I didn’t do anything I left the car the same way I got in it I’ve reached out to Lyft and still nothing they don’t take it serious just says the evidence points to me it was a picture of ramen on his seat and on his door dry ramen I went into the car empty handed with nothing but my phone and the clothes I was wearing and Lyft told me it doesn’t matter and I can reach out to the authorities if I’m comfortable and I have screenshots of the convo which I will keep I’m not saying not to use Lyft cause I know people need it but just everytime you get a ride take a picture before you get in and when you leave or record for your own good,1
34508bb7-7cbd-4409-a99f-c1792dca65f7,2023-09-12 21:10:00,I have to catch Lyft early in the mornings it’s no way your prices should be darn near $100 to go 15mins away from my house sometimes $20 like your prices jump so bad and it makes no since I wish someone else could have a car service here in Louisiana other then Lyft and Uber your prices are ridiculous for the distance that both of you are charging and everybody here isn’t rich and those perks that y’all offer don’t give much of a cushion either sometimes it’s worse with those I just wish I had my own car I wouldn’t recommend either of you guys with those prices it’s sad I live 10mins away from my destination but you wanna charge me $25 to get there and y’all barley pay the ppl who using there cars y’all are real rip offs and I hate that y’all are the only company’s that service over city someone needs to come along with wat better prices and affordable and bump both companies broke,2
5582e23a-d781-4fe5-9d5a-ffe959a15234,2022-06-20 17:43:00,please give him the acknowledgment he deserves my driver for my lyft ride spoke with me on my way to aa my driver has been sober over 20 years i have been struggling with a lot he took the time and the caring to speak to me about my problem and my disease i don't know if i had not been paired up with that you're over what might happen today he quite possibly save my life and i i use lyft every day especially the scooters i am a retired navy combat medic and a air force flight medic thank you for your time and please let this gentleman get some sort of accolade or whatever you can do he is truly a wonderful person working for you sincerely justin p conway,5
d44c59b4-30db-4f8e-98b9-8fed38cf3fb1,2022-07-14 01:50:00,it has become a frequent thing for them to double charge or hold money for a extra ride and doesn't give a percentage of lyft credit a option to do so or anything a lot of times they take they money i need to get home from work and they say it will be back 5-7 business days but i need to get home at that moment which is why i even got the app so if i got $30 on my card and i use $15 to get to work they'll hold the other $15 for no apparent reason so i get stranded as we speak im walking home in the rain as i type this only stopping at local establishments so i can check my belongings to make sure they don't get drenched and i shouldn't have to go through this just because they want to take money and give it back when they want really hope and wish they do something about this because i liked the app at first until this kept on happening i really would hate to have to take my money else where just so i can make sure it's safe and doesn't get taken without my consent,2
4d147f76-792c-43a7-a1ce-b1372af69fdf,2022-02-01 11:22:00,"i was overcharged for a ride i took on 01/31/2022.i took the same route i always take with lyft numerous times,yesterday driver dropped me off and never ended the ride and went all the way to waterbury, connecticut.my charges went from $27.66 for a roundtrip home to my daughter school and back to $72.66.i reached out to lyft via facebook they told me to privately message them in the pm and i did.only for the lazy customer support telling them can't verify my information.which is a lie because i'm logged into my lyft and obviously i know my name/ email/ phone number.there is no way to get a hold of these people after you get cheated out your money no customer service to help no even from the lyft app after i messaged them.",5
c5a456bb-aab8-4ca9-bfca-212917db5d25,2021-12-29 20:13:00,well it's been a roller coaster riding with lyft because i just started using lyft a week ago and the first day i used it was the worst experience you could have i guess i shouldn't have let ivonne the driver invite someone else to drive me to atlantic city because he was a very unsafe driver and he speeded and drove recklessly at times and then as we arrived in atlantic city the mood changed very quickly because ivonne wanted a off the books ride so we came to an agreement on $100 cash and then the driver who she said was her boss so i guess because he was the one that actually drove he wanted the $170 that was the price that was close to what the ride would've been which didn't make sense to me because it's not like lyft doesn't take there share of the ride so we got into an argument and i didn't know where we were so as we drove down harrahs blvd he decided to stop the car and jump into the back where he decided to start hitting me in my leg and thigh and then started punching me and i was trying to calm him down and i said whatever i will just give you the money and then he said then give it to me then he grabbed my cell phone and threw it into the bushes area and i was going to get the phone but then i saw him jump into the car so i didn't want him to take off with all my belongings so i was able to pop the trunk and grab my duffel bag but i wasn't able to grab my suitcase which had most of my clothes thousands of dollars worth of clothes i had cash and jewelry and other personal belongings that i really need but he just took off and wouldn't even answer the phone and ivonne acted like none of this ever happened so i was assaulted and then grand theft of my suitcase so it started off as a nightmare but since then the drivers have been great and they are just what i expected them to be!!! but i'm stilll upset that even lyft hasn't really got back to me on this issue so it looks like they aren't even investigating so i'm just very disappointed in how they are handling this or shall i say not really doing anything and are not even handling this!!,5
4d1b9891-6534-4f98-939f-06d63769c106,2022-05-13 20:15:00,"i live in florida and when i order a lyft to simply get to work 5 minutes away,i will wait 20-30 minutes to get a car,if i get one at all it's usually 20 minutes away,and more often then not the driver will cancel on me and i will be left waiting for the money to go back in my account,i'm scolding heat most of the time trying to get home from work,and not only have to wait to try again to attempt to order a car,but to as well wait another 20 minutes just to get my money back in my account,i use this service (when i'm actually able to) cause i would have thought a simple 5 minute car ride would be so much simpler then a scorching hot 1 hour walk,but clearly the cons outweighs the pros of affordable convince",1
