label,app,date,rating,review,uuid
 earn profit: lose money,acorn,4/26/20221:20:00 PM,1,"Nice for putting money away and all, but I’ve had my account about a year and it’s been in the negatives for the entire time, I’d have made more money by keeping it in the bank, so far this app has been great for making me lose money",ed661647-4f62-460b-af5e-7164de1549be
" account lock: more than usual activity reason
customer support: unhelpful in timely resolution of transfer issues
banking related transaction issue: required frequent communication with bank to verify the transfer transaction, and require screenshots of account
transaction cancellation issues: unable to cancel the transaction despite transaction itself face verification issue",acorn,3/7/20233:04:00 PM,1,"I have been using acorns for the last 7-8 years atleast when i was having a problem with my normal bank.I transferred some money to acorns, from the same bank i have been using since opening acorns and they locked my account since it was more than usual.I sat on hold just to be told they cant help me and i need to make a 3 way call with my bank the next day to verify i have enough in my account to make the transfer.They call my bank the next day and they tell them that i am the owner of the account and that i do have the money in my account.But now a week after my account has been locked they say that wasnt good enough talking to the bank, that told them everything is good with this transfer, and they want screenshots of my account.They also said they cant cancel the transfer because it already went through.",ef6076bc-8313-4567-8fb4-8c302b133412
popup interface: poorly thought UI ,acorn,11/7/20237:33:00 PM,1,"Every single page I click I’m having to close 9 pop up windows, it’s impossible to invest in a specific company. Incredibly irritating, poorly thought out UI.",b8aad5e1-a480-4655-a246-b349be455848
"withdraw money from stocks: taking couple of days, and not completing in time
earn profit: lost money due to failure in timely withdraw of money from stocks",acorn,1/5/20236:54:00 PM,1,"This is the worst company ever to go thru
I tried to withdraw my money from there stocks and the app said it would take a couple of days to withdraw them so I waited 3 days the money was still in the stock market so I clicked all the buttons to withdraw it again then I go to check on it today and the money is still in the stock market and the stock market just so happened to go down for the EXACT amount that I was trying to pull out I lost all that money so I deleted my account",1731ed63-6182-41ff-ab0a-4168ed73fd75
"customer support: unable to explain cost basis concept
file taxes: difficult process",acorn,4/23/20229:05:00 PM,1,"Acorns has provided absolutely the worst rollover process to a third-party. I have been on multiple phone calls with support having to explain what a cost basis is. Which is firstly, stupid since this is a financial services app and secondly, due to which filing taxes was way more burdensome than it ever needed to be. I would recommend Betterment or Wealthfront over Acorns any day.",b84ec3a7-6104-4441-9259-588a0e101072
"account lock: closed without notice
personal data security concerns: sell information to third party
customer support: 
Plaid support: to connect with other finance apps
high trading fees: consumes the earnings
unjustified high monthly fees: ",acorn,12/28/20227:57:00 PM,1,"First and foremost, they closed my checking account unexpectedly and without any notice. This caused a lot of inconvenience and frustration for me.
Additionally, they broke federal law by selling my personal information to third parties without my consent. This is a major breach of privacy and trust.
Furthermore, they charge a monthly fee of $3 for their service, which is not justified considering the lack of features and connectivity to other financial apps.
Their partners also have access to and rights to sell my information, which is concerning and further erodes any sense of privacy and security.
Furthermore, their customer support is non-existent. It is impossible to contact them for any issues or concerns.
To make matters worse, their service doesn't even connect to Plaid or any other financial apps, making it difficult to manage your finances in one place.
Finally, the high trading fee they charge eats up all your earnings, rendering the app essentially useless for anyone looking to grow their wealth.
In summary, I would highly discourage anyone from using the Acorns app due to their lack of transparency, poor customer service, and high fees. There are much better options out there for managing your finances.",31aaa240-c1ba-4811-b4b7-da8bd79e6e6d
" banking related transaction issue: mobile deposit issues, disparity in the transaction amount on completion
account lock: locked for a month, denying access to app account. difference in account balance might result in closed accounts (email received)",acorn,1/15/20225:40:00 PM,1,I had an issue with a mobile deposit with another bank and I deposited my check through Acorns and somehow it went through on both banks so my account was locked for almost a month and when I finally got it unlocked I got an email saying I needed to fund my account the difference of 30 some dollars or my account would be closed in three days. I just think that’s a very bad way to do business when I had no control over it and was making every effort to keep it open and correct the problem.,83b20618-8598-4f20-941f-6740c9b8d6e5
 banking related transaction issue,acorn,5/21/20239:26:00 AM,1,The app does as advertised. But when I comes to withdrawing your money this app can take nearly TWO weeks once the withdrawal process starts for you to get your money! I’ve used similar savings/investing apps and at most take tops 2 days and you get your money. This delay in getting my funds was na major inconvenience when I had an emergency and needed a bit of cash. There’s absolutely no excuse when similar apps can get your funds when requested fast when needed. For this reason I give one star because taking over two weeks for funds to process when withdrawn makes this app useless for access to money for unforeseen events or emergencies.,663b937c-f68c-44d8-831f-e12031752968
"automatic monthly charges: not even logged in app
rewards not delivered as promised:
customer support: response to tickets issued for refund",acorn,3/21/20235:35:00 AM,1,"I'm sorry Acorns, I don't like writing bad reviews, but you had two chances on the submitted tickets I sent asking for a refund. Your response has been extremely bad. I was charged $3 a month for 2 years that I didn't even logged in in your app. I had $10 dollars rewards for a trial promo back in 2020, I even gave that cash back away in exchange for the ""refund"" you promised and I only got $9 back. I complained, was told I was gonna get $6 more and never got them. If I had known I would have just transfered those $10 to my account and cancel my account myself, I would have one more dollar in my pocket. It's really bad, your app is about helping people save money, you must be the first ones to be aware with SO MANY subscriptions nowadays it's hard to keep track, and for me to not be able to get a refund when there was clearly ZERO use of that account for two long years, I wouldn't expect that from you.",dc260362-c1c4-4c6f-bedb-64e6debf7dce
"customer support: non responsive
unexpected withdraw: setup automatically for a specific day
refund issues: overdraft fees reimbursement (fees caused by unexpected withdraw from the app)",acorn,2/15/20237:09:00 PM,1,Cust service not responsive and even though auto withdrawal setup for a particular day. It was withdrawn 5 days EARLIER and resulted in a big banking mess of which Acorns didn’t reimburse overdraft fees due to their error,4e4e3965-8cf5-42a4-a9eb-87cd1ac0fbc2
"customer support: in resolving fraudulent charges
refund issues: of the fraud amount
card shipping issues: issue with shipping new card to the user",acorn,11/21/20225:59:00 AM,1,"I have an acorns checking account that I have refunds from college deposited in three times a year. Recently I received a phone call from the acorns Frauddepartment informing me of a fraudulentcharge made with my card in the amount of 197.00. At first I was so happy that they called and the acorns employee assured me that my account would be locked and they would send me a new card and that the 197.00 charge that was in pending status would NOTbe taken off my account and that I had nothing to worry about.Well almost a month later I’m still trying to get the 197.00 refunded and when I call customer service, they told me I had to fill out the paper work and dispute this charge.So I did and still nothing. But REALLY? I mean your fraud sept called ME and told me that it would not come out of my account! And the new card they sent, had a tracker button to find out where your card was , mailedon its wayor delivered. When I hit the button it told me that my card had been delivered in New York (I’m in VA) I called and they cancelled that card and shipped another. I’m a full time student struggling as it is and had just had a 6000 deposit that because of this whole fiasco took over three weeks to get my card and I still haven’t got refunded the intial 197.00 that the fraud dept. called me about!!!!! I hate leaving a review like this but it’s absolutely ridiculous that I have not heard from you or especially haven’t got my money back! They must have caller I’d also cause now when I call I get hung up on or noone answers. It’s the worst customer service I’ve ever had.",0b6ff3e6-bf4c-42a8-b1e9-136c441f0c75
,acorn,8/18/20233:21:00 AM,1,"Un Solar System Justice For All Things Being Beyond Excel to the Excelsior of All Grand-Parentals2the8simpleLifeAlwaysDeadOrAliveInTheSquirellsLovedNotKilled

Hey it’s Manny the one and only I’ve always happened to be unless I am on the GOTG sus amigos. Family emergency merry mega meeting. I am Groot, Yo Soy Groot, More Soy Sauce to the WE ARE exactly the whole who what when where why always and forever believe it.

Que Que Que Que Que Que
Simply spoken Qup+ we the people.

*Insert Talking Doug puppy from Famous Film Featuring Venezuela’s Angel Falls wonder of the world called UP* Okay so how many of those Ice Age characters IRL have planted trees in Puerto Rico since their adoption? That’s what I thought. Power to counteract a tax is the power to LOVE. 🖖#AcornCompoundingPerPersonPerdiemPerSquirrel #BooRadleyAtticusFinchDoBeLikeThatTKAM",4ea9313a-632b-4af0-8d04-ac62fc24d425
banking related transaction issue: caused overdraft issues ,acorn,4/20/202312:38:00 PM,1,Made a withdrawal and instead of going into my personal checking account Acorn withdrew the money causing over draft fees,3379630c-8299-46d2-b7ae-0562946f577f
"rewards not delivered as promised: promotion promised $600 and still not received, despite claims that its on account",acorn,1/21/20228:40:00 PM,1,"Hello I did you 12/18 promotion and I recently just got my 600 starting to transfer and it’s been 6 days and they keep saying that it’s in my account that I have on file and I explained to them multiple times that’s it’s not I’ve sent them screenshots of my transactions , my statements and they seen that I haven’t received the $600 I’m still waiting and I’m getting more and more frustrated as time keeps passing and I STILL have no answers can you tell me when I will recieve my money offer from Dec?",94a6c71a-1429-4144-9928-19f147ad39df
 rewards not delivered as promised: accused of waiting till deadline to process the rewards offers so that they can be declined later,acorn,1/16/20222:42:00 PM,1,"The referral bonus is a scam I was required to have 5 referrals for $600. I had all my referrals in before the deadline date and made sure that all my referrals made a 1 time investment because I sent all of them $10 to make sure they did it, what acorn did was waited til the deadline date was over to process my referrals then I wrote a email about it they responded saying the system was backed up by all the entries amd that they were dealing with the problem but managed to complete 3 of my referrals that same day then when I wrote a email again about it they responded basically telling me the requirements for the referrals to be completed which I knew and made sure my ppl invested now it’s a month later an they just now completed the other 2 referrals so o called those 2 ppl to see if they did anything to they account recently and they responded with a no so acorn waited til the date was past due to complete all the referrals and that’s how I didn’t get my bonus because of them",d52be38b-a97d-4f77-8331-443ebcf65dec
difficult to cancellation process: ,acorn,6/3/20228:43:00 PM,1,Wanted to try it out but then wanted to cancel it’s so easy for them to charge you monthly but once you try to cancel it’s a pain and all of a sudden the app doesn’t work,97ba9424-e641-4041-9e9e-f41e05350caf
charged despite cancellation:,acorn,2/23/20238:32:00 PM,1,I am allowing them to add up and I will be submitting a fraud claim to my bank when they add up really high because I have cancelled this service months ago and I continue to get charged.,534975a5-c0a3-4656-8f49-0ee5155f1468
"easy setupprocess: 
market information: lacking
stock selection option: lacking",acorn,1/8/20221:12:00 PM,1,"I find this app to be extremely watered down, although it’s easy to setup it does not give you any market data or even let you pick the stocks you want to invest in. Not fond of putting my money into a black box and hoping for returns.",1164bb1f-9643-4b6f-a6ad-5be2869ee9cb
" banking related transaction issue: deposit to checking account taking too long
account lock: banking transaction delay flagged security concern causing account to be closed and cant access requested paperwork
customer support: uses only email, automated messages and no help",acorn,5/11/20235:12:00 AM,1,"I was very excited to start an Acorns account and learn all about investing and building a nest egg for my retirement and future family. Fast Forward about a year and later Hu and I decide to make a generous deposit to my checking account from another account and acorns out a hold on my debit card and requests some paper work in which I complied and sent them what the asked for. Some time had passed in which my money was still sitting in between the accounts which flagged security in my other bank in which case causes them to close my account so i can no longer access any of the requested paperwork. Now my money is in my locked acorns account and they won’t let me access it and when I ask to speak to a manager or to someone one they reply with sry but this department only uses email and I just keep getting automated messages and no help. I want my money out of my account now and I want to close acorns . 
Account Holder
Marc Garzon",c88fee51-22cd-4b3f-906e-177faa3147a2
"earn profit: very less
high subscription fees:",acorn,10/3/20238:13:00 AM,1,"This app does not help you grow your money being a member for two years and the subscription fee takes away all your growth, really disappointed.",c48e7c93-2844-406e-90ee-615433f47482
"banking related transaction issue: transfer fund to another company's account, required signed letter, hassle process
close account and refund remaining balance: unable to transfer since the account was never closed",acorn,4/6/20223:29:00 PM,2,"I had to transfer my funds from acorn to another company due to requirements from my employer and the process to do so with Acorn was a hassle. They required a signed letter generated from the new company which when sent was never processed by Acorn until I called and they sent me an email asking if I really wanted to do the transfer abs close the account. Than never closed the account only left the remain balance which they said could not be transferred sitting in the open acorn account. I had to email support twice to get the next step going.

For all the fees charged you would think this would be an easier process.",5bc840a6-9fd8-4989-90d4-c1bbb9b8deef
