uuid,date,review,rating
b76ffcd9-29a3-40e9-bfb7-fdd8bc3eaa30,2023-05-06 18:08:01,was calling customer service due to a very bad glitch on their own app gets paired with the worst customer service person ever where they didnt know what they were talking about was literally no help what so ever kept repeating things even though i explained everything in more then enough complete detail they also kept hanging up on me (also not the first time this has happened as well where they kept hanging up on me repeatedly) when the app was being super buggy they refused to help me any further let alone at all and just seems uber themselves just kept protectng this employee who was clearly not cut out for customer service let alone any form of customer service and in my opinion they honestly should be fired in all honesty otherwise leaving this as a 1 star review until uber can fix this issue at hand and preferably fire the employee in question is more then willing to change this review into a more positive one if uber themselves can fix this issue properly along with preferably firing the employee in question if they can also do that as like i said this person in paticular should not be working in this line of customer service let alone any form of customer service at all and its honestly a shame uber is willing to protect even the lowest of their employees who were in the wrong to begin with as is,1
c4ab6e19-7ec0-49a8-8877-1f317e3aabbb,2022-01-16 16:36:58,"I was hesitant to book an uber bc of all the horror stories I heard about Ubers stealing credit card info, drivers kidnapping, robbing, and even raping customers but my husband and i needed an uber bc we were going out in Nashville the drop off went well nice driver clean car decent price but when it was time to pick us back up the app gave us a different driver we were out waiting on our ride freezing my phone ended up dying the driver never showed we walked a few blocks and found a way to charge my phone as soon as it came on it said the Uber cancel the ride and still charged me i Blamed it on my phone dying and just booked another ride it charged $50 more than the last Uber but I was desperate freezing and I just wanted a ride so I booked it we still waited almost an hour finally the driver came he was great but I had to ask why is this ride so much more he said when it’s a high demand for drivers the prices goes up RIDICULOUS I tried calling Uber to say we were at the pickup location and the driver canceled the ride we couldn’t get anyone on the phone for customer service and the app is automated responses can’t say I want use an Uber again bc I travel a lot but I do hope you guys do better with a rider being able to call from a different phone if their phone dies also the price changes aren’t fair",1
10bef1fc-717e-4db4-8a63-f8111d6dabb0,2022-05-14 15:56:33,"I have beeen using Uber for more than 5 years now as I travel a lot …experience changers from driver to driver and I understand that but what I realized lately is the customer service and attention to customer has declined drastically…they used to really care if you forget /lost something in the car, if you had a bad experience with a driver etc…nowadays especially with the congestion and need in Miami Beach,I think Uber gives everyone the right to be their driver..some of these people literally belong to a cartel or something ,so scary,so rude and harassing almost…and when you reach out to UBER , No resolution or an effort to compensate you in anyway ,shape or form..Terrible customer service lately so I switched to LYFT even though I think Uber has a better application software,the service is not there anymore …I was a loyal customer for so long and I just had too many bad experiences lately..unfortunate",1
b9b4f2cf-cee7-4cd5-a86b-0340aaefcee9,2023-09-24 04:09:17,I would’ve gave them five out of four stars but the only reason why I’m only giving four is because sometimes there isMoments where you don’t get your food and you’re telling them you didn’t get your food and they make you pay for the meal anyways cause it has happened to me a few times especially with a few that were very large orders like I paid over $70 $100 and then I said I didn’t get it and then nothing and I pay for their subscription every month so you think that I would be more of a loyal customer driving business knows that it’s all about Customer satisfactoryI hope that it doesn’t continue to keep happening more often because it if it would then that would be a disappointment for me in Uber because I would not be using their services anymore because I like everything else but I’m not gonna be ripped off sometimes because they think that they know what happened or I’m lying or stereotyping or who knows dad but true but that’s the only negative I would say everything else has been pretty positive and has been pretty smooth with Uber other than the issue of not getting food or not getting money back or something along those lines,4
afa13f1d-90d9-4b31-b58b-8c7e5ab36173,2022-08-03 23:21:48,"I had a ride from Washington DC (crossing of H-St and 17th ) to my home in Springfield Virginia The driver didn’t know the route made two vital mistakes to get to I-395 we swank by same parts of Constitution Avenue
The the system has the audacity to add distance charge of $26+ This is not acceptable I am stopping the payment ASAP
It is ridiculous that the Uber driver didn’t know the route - Instead of taking Springfield/Franconia exit 644 he kept on driving on I-95 south and finally took the Franconia exit that added at least 6-7 miles and 12 minutes to the ride Under no circumstances I am going to pay more for a ride that took longer time/driving distance due to driver errors",1
31b64d0f-94f0-43f5-9e6a-413fef6ebeb5,2022-12-22 03:46:46,I have not heard from anyone yet but I’m still waiting to hear back from them thy fired me because I would decline deliveries to bad sections in the city of St. Louis east St. Louis unhygienic give us the option to take our order so if we don’t want them why give us the option to take or deny thy did never release my earning to my card thy told me since I was fired thy keep my earnings I’m a disabled person who has no money there a 500 company y would they take from a disabled person that goes against our constitution I need to talk to someone in charge not a foreigner,1
2726a0c0-1bf3-4df2-b503-c738eb0caf4c,2022-05-16 12:46:23,"I noticed something on most Uber drivers that they are not looking for the convenience of the customer, they are looking for ways to take as much money as possible from the customer, such as: (slows the speed to the lowest possible degree) (goes from other ways to increase the distance) (it is impossible to turn on the air conditioner) Thus, the car is like a furnace in the summer) (unnecessary and unjustified stops at: traffic lights, at market places, gas stations and pharmacies with cheap and meaningless pretexts, “They always delay us in our work”) (and finally, the unwanted talk)
After the experience, these things are very annoying and Uber must solve them.",3
38b79cc4-9759-412d-aa09-641f1ba00525,2022-11-30 18:03:22,"The lady that canceled my trip lied to my face,I asked her three times ,the first two times she seen me and she was not trying to have eye contact, she texted me before coming said she was on the way,I’m Muslim and I had my cuffie on,is why she didn’t want to take me,tge third time I actually asked her first two times was gestures trying to approach her,so she rolled the window down, I asked her was she here to pick up Reginald,she lol me in my face and told me no,I would have respected her more if she just told me she wasn’t taking the trip,imma good Muslim,I pray 5 times a day to deal with people like her,probably a Christian lol,all they do is lie",1
4bd51a64-322c-480d-bb8c-6bd167f7bad1,2023-08-23 21:44:26,"Uber is amazing for allowing other forms of payment such as plasma cards  , Uber also allows you to add 2 stops before you final destination Lyft only allows one stop additionally Uber does not believe in leaving their riders behind so if you go past a certain time limit you could get charged more money but you will not be left unless you are gone an excessive Ammount of time such as 20 plus minutes with out getting the driver to agree to wait ,  over all it is an amazing app , with the exception of your occasional unstable driver due to mental illness being on the rise in the USA after Covid , UBER is 99 percent a safe traveling app !",5
ada76858-7f9e-4258-83ff-b967643251ed,2022-06-12 14:25:00,"iOS update bug - cannot use uber b/c it requires update which requires iOS update… Then the pop up says you can use earlier version of the app and nothing happens when you tap download besides same window popping up again… The reason I dont want to update iOS is that my phone is a couple of yrs old and last time i updated, it made it slower (and i dont want to buy a new phone right this moment, which is probably one of the goals with updates making your phone slower and more annoying to use…) so Uber - you may have just lost a customer due to dumb update rules…",2
553fe0ea-4559-4c8d-b4d3-b7e29dfda9f3,2023-03-21 10:55:52,"I am visiting Jeddah and the wait time for finding an Uber in Jeddah is minimum 20 minutes to find a ride 
The app either has to recruit more people( I don’t believe they have strict policies as I have ridden twice with smokers and even smelt hash in the Uber) so they look like pretty flexible with who can join their fleet 
However, it is a problem to find an Uber in Jeddah 
It is basically a hit or miss depending on your luck that day 
I am going to look for another riding app (maybe a local one would be more reliable)",2
7b53d82e-0b9a-4a5a-bf06-0e869a7c9002,2022-11-15 07:57:53,"In Jordan drivers just cancel the ride once they reach you when they found the trip is short or the payment is credit card or for any other reason 

It happened to me many times, and why is that, because they can do that under the reason of customer is not wearing mask, although I was wearing one and despite the fact that it is not required any more 

One time I was already in the car and the moment I got on and put the seat belt, the driver received a call, and easily told me sorry I have to be somewhere else, then in front of me he just put in the app that I am not wearing a mask and said sorry someone else will come now to pick you up

And guess what, you can’t claim that, no way you can do that, I spent hours in the app trying to do that, it is designed not to

So in Jordan I don’t recommend using uber",1
eb7764c7-d499-44bc-8598-e13df3c24e8b,2023-04-25 09:58:47,"Eric was a smart Uber driver 
The prior Silver QX60 Infinti driver drove right by me I express to him I was across the street he said he was too but he had passed Gardner as I was waving for him to stop I’m in a dangerous cold corner have give him the address he said I’m across the street but I said your a block away so he canceled on me leaving to fend for myself with two crazy people approaching me while waiting on Eric the second requested charge of $7.73 
Not at all the way I have driven with a 5 star rating fir over three years🚙",5
942a4091-3f5f-4741-96c7-ba9c98ef307b,2022-02-16 03:28:35,"I prefer Lyft , this app is ridiculous, but Jen you pay a fee , after you get dropped off and settle it’s an additional fee taken off my card or my Uber cash , I do t understand whatever price it says at the beginning it should be only that price , it’s ridiculous, I’m getting charged for every ride extra and I don’t be late or nothing , what is the money coming off my card for now I could’ve seen if I always late but I’m always on time outside waiting for them to come and then I look extra funds are being charged I don’t care if they’re in Africa it’s ridiculous that I’m paying an extra fee atleast let me know first if that’s how much I’m paying , it’s crazy , I work too hard for my change and got it to be taken stupidly is ridiculous and I obscured",1
141ed486-65f0-490d-9918-5d0329ca0468,2022-12-14 18:37:46,"My Uber pet driver Lou was the best he didn’t mind when I’m from north port with hurricane damage from Ian that I’m here with 3 dogs waiting for my vehicle to be fixed to go and have lunch and shop at Walmart and there good behaved dogs I tipped him and then he came back and found us we left our wallet and a bag full of credit cards and id’s so we tipped him a gain twice what we tipped him before
Merry Christmas & Happy New Year Lou",5
56e7d59a-3f4b-4e91-bd00-7ef40f6529c2,2023-02-04 08:11:54,"Tonight we had a flight an hour away booked xl car for 6 people 3 days before he canceled 2 hours before pick up time, another driver picked up ride she calls me asked how manny people and bags tell her she says ok im not too far 3 mins later cancelled then we booked 2 small cars one came the other dude never showed up cancelled again booked another he took over 15 mins now were late leaving and we have over an hour drive it was a nightmare very stressful night but the last driver made it the plane was actually waiting for the last 3 people out of 6 never again make sure to get a car 4 hours before a flight this seems to happen alot with uber im told.",2
96299fd3-fc6a-4310-a904-dce80340b194,2022-01-07 14:06:11,This is a good service but they will take you out the game if you have low rating so if you get 83% be advise they suspend your account i email them and try to apple yes good luck with that because that apple don’t work for nothing of them apps I don’t understand why they have a apple option if they don’t care about the driver just like the same energy I been feeling is driver don’t get appreciate so be careful on y’all rating if you all delivery with Uber they don’t solve no problem I’m Edward Peterson I been working with Uber 2years I only use that for extra income but screw em now I did everything in my power to get my account back all these delivery app are bad to make money on they will take your account away from with out you knowing,1
df7ac9e4-ae18-44bf-a379-73cd30c603b0,2023-02-03 02:41:39,I take Uber often it has been several times when a driver accepts my ride but has something else going on it says they will arrive in 6 mins but they are literally in the same spot for 15mins one driver accepted my ride knowing he had a flat tire and was in the process of getting it fixed then if you ask them to cancel they don’t want to gets really rude about I have something to do and somewhere to go WORK I reached out to customer service and asked them to cancel because the driver wouldn’t they told me I had to wait for an email from another department didn’t cancel my ride till a hour in a half later tried to send me another Uber as if I waited that long then charged me 4 times for that ride I am ready to start a civil suit because I know I’m not the only person this happens to,1
7c07d477-e54e-4b27-8726-ebde696ade57,2021-12-15 09:53:43,"Uber is an amazing app and has helped me alot around my travels but right now I’m in islamabad pakistan and in here i have faced this problem more than 5 times I’ve missed my appointment twice and last night my dad got sick for standing in the hospital gate for a driver to come pick us up this has happened 5 or 6 times i order a ride a driver accepts and asks for location i gove the location then he keeps me waiting for 5-6 minutes then cancels the ride and the other one does the same last night i waited 40
Minutes the driver’s kept accepting and canceling back to back when i cancel a ride i get charged for it but when the driver’s keep canceling back to back nothing",1
566c82c2-2260-4a70-86ff-f15b96222af0,2022-08-10 09:53:11,I travel a lot I depend on company like Uber as seeing how I have a health condition that keeps me from moving to much or walking I use Uber to doctors appointments that sometimes are out of state I don’t get rides from hospitals I contacted Uber several times it keeps me going to bed hungry with no food depending on Uber in a state and city I’ve never been and don’t have anything I’m use to to go to a painful appointment supposed to eat for procedures and I order food at 5 it never showed up it then canceled and told me sorry I can’t tell my doctor sorry I didn’t eat and when I’m stranded at airport what do I do,1
