apps,Iteration turn,Denser_Summary,Missing_Entities,pos_ents,neg_ents,neu_ents,#pos_ents,#neg_ents,#neu_ents,#entities,entity density,#raw_tokens,#tokens
bumble,1,"The app in question seems to have a variety of user experiences, with some finding it beneficial for creating meaningful connections, while others express frustration over certain operational aspects. A notable number of users have raised safety concerns, which appear to be a significant issue that the app's team may need to address more effectively. Additionally, there are reports of photo verification issues, where users encounter difficulties in getting their profiles verified, leading to disruptions in using the app's services. Another point of contention for users is the cost associated with the app's subscription model, which some find to be expensive compared to the value received. These factors contribute to a mixed reception among its user base.",safety concerns;photo verification issues;expensive subscription,beneficial for creating meaningful connections,"photo verification issues,;cost associated with the app's subscription model;safety concerns,",,1,3,0,4,0.03418803418803419,132,117
bumble,2,"Users are encountering safety concerns and expensive subscriptions on the app, with additional grievances about limited swipes that hinder the experience. The presence of fake profiles is another challenge that users face, detracting from the authenticity of interactions on the platform. Moreover, there are issues with photo verification that frustrate users, as they struggle to prove their identity and maintain access to the app's features. The app's approach to gender options also garners attention, as it influences the matching process and affects user satisfaction. These elements collectively shape the user experience, with some finding success in connecting with others, while many express dissatisfaction with the app's functionality and policies.",limited swipes;fake profiles;gender options,success in connecting with others,safety concerns;expensive subscriptions;limited swipes;fake profiles;photo verification;gender options,,1,6,0,7,0.06422018348623854,124,109
bumble,3,"The app's user base reports persistent safety concerns and challenges with an expensive subscription model. Limited swipes and a prevalence of fake profiles exacerbate user frustration, while photo verification issues and restrictive gender options limit accessibility. Users also face unresponsive matches, which leads to unfulfilled potential connections and dissatisfaction. The app's guidelines are criticized for being unclear, causing confusion and potential unfair treatment. Furthermore, non-binary individuals feel excluded due to the app's gender options, highlighting a need for more inclusive practices. These factors contribute to a complex user experience that varies widely across the app's community.",unresponsive matches;unclear guidelines;non-binary exclusion,,safety concerns;expensive subscription model;fake profiles;Limited swipes;photo verification;restrictive gender options;unresponsive matches;app's guidelines are criticized for being unclear;non-binary individuals feel excluded due to the app's gender options,,0,9,0,9,0.09278350515463918,111,97
bumble,4,"Users express dissatisfaction with safety concerns, expensive subscriptions, and limited swipes, compounded by fake profiles and problematic photo verification. The app's biased algorithms and unclear guidelines further frustrate users seeking genuine connections. Unresponsive matches and non-binary exclusion raise questions about inclusivity and effectiveness. Additionally, issues with profile visibility suggest that the app may not fairly present all users, potentially affecting match rates. Users also report annoyance with frequent push notifications, which disrupt the user experience and contribute to the overall sense of dissatisfaction. These challenges highlight areas where the app could improve to better serve its diverse user base.",biased algorithms;profile visibility;push notifications,,safety concerns;expensive subscriptions;limited swipes;fake profiles;problematic photo verification;unclear guidelines;Unresponsive matches;non-binary exclusion;profile visibility;match rates;push notifications,,0,11,0,11,0.11,112,100
bumble,5,"The platform faces criticism for safety concerns, costly subscriptions, limited swipes, and an influx of fake profiles. Users struggle with photo verification and biased algorithms that affect profile visibility. Unresponsive matches, unclear guidelines, and non-binary exclusion are problematic, while intrusive push notifications aggravate users. Account bans without clear explanations or recourse have led to further discontent among users. A significant lack of responsive customer support exacerbates these issues, leaving users feeling neglected. Additionally, auto-renewal issues with subscriptions have caused financial frustrations for users who feel trapped by the app's payment policies. These collective shortcomings signal a need for more transparent and user-friendly practices.",account bans;lack of customer support;auto-renewal issues,,safety concerns;costly subscriptions;limited swipes;fake profiles;photo verification;biased algorithms that affect profile visibility;Unresponsive matches;unclear guidelines;non-binary exclusion;push notifications;Account bans without clear explanations or recourse;responsive customer support;auto-renewal issues with subscriptions,,0,13,0,13,0.12264150943396226,119,106
tinder,1,"Users have expressed dissatisfaction with the prevalence of fake profiles on the app, which often lead nowhere or direct users to other services. Many have encountered sudden account bans without any clear justification or prior warning, leaving them confused and unable to access the service. Additionally, there is a sentiment that the subscriptions for the app are quite expensive, and even after paying, the benefits seem negligible, leading to a disappointing experience for those who have invested money. The lack of transparency and communication from the app's customer service when addressing these bans has been a point of frustration for affected users.",fake profiles;banned without reason;expensive subscriptions,,"fake profiles;account bans without any clear justification or prior warning;subscriptions for the app are quite expensive;even after paying, the benefits seem negligible;customer service",,0,5,0,5,0.049019607843137254,113,102
tinder,2,"The app's customer service is criticized for its unresponsiveness, particularly regarding unexplained bans. Users find themselves permanently banned with no recourse or appeal process available. The expensive subscriptions do not seem to improve the user experience, as fake profiles and bot accounts still pervade the platform. These issues contribute to a general sense of frustration and dissatisfaction among users, who feel their investment in the app is not yielding the expected social connections or support.",customer service;no appeal process;bot accounts,,customer service;unexplained bans;banned with no recourse or appeal process available;expensive subscriptions;fake profiles;bot accounts;investment in the app is not yielding the expected social connections or support,,0,7,0,7,0.09333333333333334,83,75
tinder,3,"Users are frustrated with the app's handling of gender preferences, leading to unwanted matches. The visibility of profiles seems to be affected by paid features, with some suspecting that not paying leads to fewer matches. The customer service's lack of engagement on issues like unexplained bans and the absence of an appeal process exacerbates user dissatisfaction. Despite investing in expensive subscriptions, many report an abundance of bot accounts and a scarcity of genuine interactions.",gender preferences;profile visibility;lack of matches,,gender preferences;visibility of profiles;not paying leads to fewer matches;customer service's;unexplained bans;absence of an appeal process;expensive subscriptions;bot accounts;scarcity of genuine interactions,,0,9,0,9,0.12162162162162163,83,74
tinder,4,"The app's algorithm is called into question for its effectiveness in providing matches according to user preferences, with many reporting issues such as misleading notifications about likes and matches. Users also face restrictions on profile editing, which can lead to bans without clear reasons. The customer service is noted for its inadequate response to these concerns, particularly regarding the lack of an appeal process for bans related to gender preferences or profile visibility.",algorithm issues;misleading notifications;profile editing restrictions,,matches according to user preferences;misleading notifications about likes and matches;restrictions on profile editing;bans without clear reasons;customer service;lack of an appeal process for bans related to gender preferences or profile visibility,,0,6,0,6,0.0821917808219178,80,73
tinder,5,"In-app purchases, including expensive subscriptions, fail to resolve issues with the algorithm that affects profile visibility and match frequency. Users are also dissatisfied with location-based matching, which often shows profiles outside their set preferences. Transparency from the app regarding its operations and decision-making processes, especially concerning bans and customer service interactions, remains a significant concern. The lack of clear communication compounds user frustration over editing restrictions and misleading notifications.",in-app purchases;location-based matching;transparency,,expensive subscriptions;profile visibility;match frequency;location-based matching;bans;customer service;editing restrictions;misleading notifications,,0,8,0,8,0.1111111111111111,78,72
