apps,Iteration turn,Denser_Summary,Missing_Entities,pos_ents,neg_ents,neu_ents,#pos_ents,#neg_ents,#neu_ents,#entities,entity density,#raw_tokens,#tokens
bumble,1,"This application, known as Bumble, has been the subject of various discussions where users have articulated their perspectives on several aspects of its functionality and overall user experience. Some individuals have expressed their dissatisfaction with the cost associated with the subscription model, which they find to be prohibitively expensive. Others have raised concerns about the moderation of photos, suggesting that there may be inconsistencies in how the app's policies are applied. Additionally, there are mentions of encounters with fake profiles, which has caused some discomfort among the user base. These elements collectively contribute to a nuanced view of the app's performance.",expensive subscription;photo moderation;fake profiles,,cost associated with the subscription model;moderation of photos;fake profiles,,0,3,0,3,0.0297029702970297,114,101
bumble,2,"Bumble's users report mixed experiences, highlighting issues like the app's costly subscription and inconsistent photo moderation that sometimes targets certain content or demographics. Users also criticize the limited number of free swipes allowed, constraining their ability to engage with potential matches. The app's gender options have come under scrutiny for not being inclusive or flexible enough to accommodate all users' identities. Moreover, customer service interactions are described as unhelpful, with reports of unresolved issues and lack of proper communication from support staff.",gender options;limited swipes;customer service,,costly subscription;photo moderation;limited number of free swipes;app's gender options;customer service,,0,5,0,5,0.06097560975609756,94,82
bumble,3,"Bumble's user experience is marred by an expensive subscription fee, stringent photo moderation, and a restrictive match algorithm that seems to bury profiles, leading to fewer matches. The app's limited swipes and inadequate gender options add to user frustrations, while poor customer service exacerbates the situation. Additionally, users are annoyed by frequent notification spam, which often leads to disappointment when revealed to be in-app promotions rather than genuine interactions, further detracting from the overall satisfaction with the dating platform.",match algorithm;notification spam,,subscription fee;photo moderation;restrictive match algorithm that seems to bury profiles;app's limited swipes;gender options;customer service;notification spam,,0,7,0,7,0.0875,91,80
bumble,4,"Critiques of Bumble focus on its costly subscription, strict photo moderation, and an opaque match algorithm that limits connections. Users are frustrated by the limited swipes, insufficient gender options, and a customer service that fails to address concerns. The app's notification system is criticized for spamming users with irrelevant alerts. Furthermore, the user interface is reported to have sensitivity issues that lead to unintended swipes, and some users feel the app pushes a political agenda, which they find intrusive and unnecessary in a dating platform context.",user interface issues;political agenda,,costly subscription;photo moderation;opaque match algorithm;limited swipes;gender options;app's notification system;sensitivity issues that lead to unintended swipes;pushes a political agenda;customer service,,0,9,0,9,0.10465116279069768,98,86
bumble,5,"Bumble's reviews reveal dissatisfaction with high subscription costs, inconsistent photo moderation, and a match algorithm that hinders genuine connections. Users lament limited swipes, poor customer service, spammy notifications, and user interface glitches causing accidental swipes. There are also safety concerns due to encounters with fake profiles and a perceived political agenda pushed by the app. Moreover, users report sudden account bans without clear explanations or avenues for appeal, raising questions about transparency and fairness in the app's governance.",safety concerns;account bans,,subscription costs;photo moderation;match algorithm;limited swipes;customer service;spammy notifications;interface glitches;accidental swipes;fake profiles;perceived political agenda pushed by the app;sudden account bans without clear explanations;avenues for appeal,,0,12,0,12,0.15384615384615385,91,78
tinder,1,"The application, known as Tinder, seems to have a significant number of individuals expressing dissatisfaction regarding various aspects of its functionality. Some users report unexpected account bans without clear explanations or a transparent appeal process. Others mention encountering fake profiles, which can be frustrating for those seeking genuine connections. Additionally, there are mentions of the subscription services being quite expensive, which may not align with the value received. Moreover, the customer service is described as poor, with a lack of timely and helpful responses to user inquiries and concerns.",account bans;fake profiles;expensive subscriptions;poor customer service,,transparent appeal process;account bans without clear explanations;subscription services being quite expensive;customer service;fake profiles,,0,5,0,5,0.056179775280898875,101,89
tinder,2,"Users of the Tinder app report a multitude of issues including sudden account bans and a prevalence of fake profiles that hinder the search for real connections. Many users experience receiving no matches, suggesting potential algorithm issues that affect visibility and match rates. Complaints about expensive subscriptions surface, with users feeling the cost is not justified by the app's performance. Glitches and technical problems are common grievances, alongside encounters with bots and scammers, further diminishing user experience. Customer service is criticized for its inadequacy in addressing these problems effectively.",no matches;glitches;bots/scammers;algorithm issues,,account bans;fake profiles;expensive subscriptions;Glitches and technical problems;bots;scammers;Customer service;visibility;match rates,,0,9,0,9,0.10112359550561797,99,89
tinder,3,"Tinder users face issues like unexplained account bans, fake profiles, and no matches, possibly due to flawed algorithms. The app's expensive subscriptions and glitches contribute to user frustration, as do frequent encounters with bots and scammers. Deceptive marketing tactics are called out, with users feeling misled by the app's promotional strategies. Concerns over data privacy emerge, questioning the security of personal information. The app limits swipes for non-paying users and often shows potential matches with inaccurate distances, complicating the dating process. Poor customer service exacerbates these issues, offering little resolution.",deceptive marketing;data privacy concerns;limited swipes;inaccurate distances,,unexplained account bans;fake profiles;no matches;expensive subscriptions;glitches;bots;scammers;app's promotional strategies;security of personal information;swipes for non-paying users;potential matches with inaccurate distances;customer service,,0,12,0,12,0.13186813186813187,106,91
tinder,4,"Tinder's operational woes include arbitrary account bans, an influx of fake profiles, no match scenarios, and an algorithm that may unfairly prioritize paid accounts. Users criticize the app for deceptive marketing and data privacy issues, while limited swipes and inaccurate distances hinder effective matching. Reports of transphobia and non-binary user issues suggest a lack of inclusivity. Some users encounter harassment and unwanted sexual content solicitation, raising safety concerns. The app's glitches and bot-laden landscape are compounded by customer service that fails to provide adequate support or address these multifaceted problems.",transphobia accusations;non-binary user issues;harassment reports;sexual content solicitation,,arbitrary account bans;fake profiles;no match scenarios;prioritize paid accounts;deceptive marketing;data privacy issues;limited swipes;inaccurate distances;Reports of transphobia and non-binary;harassment and unwanted sexual content solicitation;app's glitches;bot-laden landscape;customer service,,0,13,0,13,0.14130434782608695,102,92
tinder,5,"Tinder is plagued by systemic problems: unwarranted account bans, rampant fake profiles, an algorithm favoring paid users resulting in scarce matches for others, and glitches. Users decry overpriced features that don't deliver results and misleading notifications that exploit psychological vulnerabilities. Inclusivity concerns arise from transphobia accusations and non-binary user issues, while reports of harassment and sexual content solicitation underscore safety issues. Limited swipes, inaccurate distances, deceptive marketing practices, data privacy concerns, and poor customer service exacerbate user dissatisfaction with this dating platform.",inclusivity concerns;safety issues;misleading notifications;overpriced features,,unwarranted account bans;fake profiles;algorithm favoring paid users;overpriced features;misleading notifications;transphobia accusations and non-binary user issues;harassment and sexual content solicitation;Limited swipes;inaccurate distances;deceptive marketing practices;data privacy concerns;customer service;glitches,,0,13,0,13,0.1566265060240964,96,83
