model,app,itr,ents,tokens,density
gpt,bumble,1,3,101,0.02970297
gpt,bumble,2,5,81,0.061728395
gpt,bumble,3,7,80,0.0875
gpt,bumble,4,9,85,0.105882353
gpt,bumble,5,12,77,0.155844156
gpt,tinder,1,5,89,0.056179775
gpt,tinder,2,9,88,0.102272727
gpt,tinder,3,12,90,0.133333333
gpt,tinder,4,13,91,0.142857143
gpt,tinder,5,13,83,0.156626506
gpt,robinhood,1,6,102,0.058823529
gpt,robinhood,2,8,87,0.091954023
gpt,robinhood,3,10,90,0.111111111
gpt,robinhood,4,12,84,0.142857143
gpt,robinhood,5,14,89,0.157303371
gpt,acorn,1,9,96,0.09375
gpt,acorn,2,9,84,0.107142857
gpt,acorn,3,10,76,0.131578947
gpt,acorn,4,11,72,0.152777778
gpt,acorn,5,11,73,0.150684932
gpt,calm,1,5,100,0.05
gpt,calm,2,9,91,0.098901099
gpt,calm,3,10,84,0.119047619
gpt,calm,4,10,79,0.126582278
gpt,calm,5,8,85,0.094117647
gpt,headspace,1,6,103,0.058252427
gpt,headspace,2,7,91,0.076923077
gpt,headspace,3,9,84,0.107142857
gpt,headspace,4,10,85,0.117647059
gpt,headspace,5,10,87,0.114942529
gpt,uber,1,4,106,0.037735849
gpt,uber,2,9,88,0.102272727
gpt,uber,3,11,74,0.148648649
gpt,uber,4,12,72,0.166666667
gpt,uber,5,15,78,0.192307692
gpt,lyft,1,5,101,0.04950495
gpt,lyft,2,10,90,0.111111111
gpt,lyft,3,10,81,0.12345679
gpt,lyft,4,11,79,0.139240506
gpt,lyft,5,11,80,0.1375
llama,tinder,1,13,83,0.156626506
llama,tinder,2,14,117,0.11965812
llama,tinder,3,16,153,0.104575163
llama,tinder,4,18,203,0.088669951
llama,tinder,5,19,246,0.077235772
llama,robinhood,1,9,60,0.15
llama,robinhood,2,7,76,0.092105263
llama,robinhood,3,7,87,0.08045977
llama,robinhood,4,8,105,0.076190476
llama,robinhood,5,8,119,0.067226891
llama,headspace,1,9,87,0.103448276
llama,headspace,2,9,95,0.094736842
llama,headspace,3,13,134,0.097014925
llama,headspace,4,13,160,0.08125
llama,headspace,5,15,189,0.079365079
llama,acorn,1,7,72,0.097222222
llama,acorn,2,9,101,0.089108911
llama,acorn,3,11,172,0.063953488
llama,acorn,4,12,241,0.049792531
llama,acorn,5,14,316,0.044303797
llama,bumble,1,6,111,0.054054054
llama,bumble,2,7,89,0.078651685
llama,bumble,3,7,79,0.088607595
llama,bumble,4,6,63,0.095238095
llama,bumble,5,3,66,0.045454545
llama,lyft,1,8,72,0.111111111
llama,lyft,2,11,107,0.102803738
llama,lyft,3,15,149,0.100671141
llama,lyft,4,17,196,0.086734694
llama,lyft,5,20,268,0.074626866
llama,uber,1,8,76,0.105263158
llama,uber,2,9,96,0.09375
llama,uber,3,11,119,0.092436975
llama,uber,4,12,139,0.086330935
llama,uber,5,11,164,0.067073171
llama,calm,1,5,85,0.058823529
llama,calm,2,7,108,0.064814815
llama,calm,3,8,130,0.061538462
llama,calm,4,9,151,0.059602649
llama,calm,5,9,168,0.053571429
gemini,tinder,1,8,90,0.088888889
gemini,tinder,2,8,69,0.115942029
gemini,tinder,3,7,59,0.118644068
gemini,tinder,4,11,51,0.215686275
gemini,tinder,5,14,60,0.233333333
gemini,robinhood,1,9,106,0.08490566
gemini,robinhood,2,11,90,0.122222222
gemini,robinhood,3,14,82,0.170731707
gemini,robinhood,4,17,73,0.232876712
gemini,robinhood,5,16,76,0.210526316
gemini,headspace,1,6,89,0.06741573
gemini,headspace,2,10,65,0.153846154
gemini,headspace,3,12,62,0.193548387
gemini,headspace,4,16,65,0.246153846
gemini,headspace,5,19,60,0.316666667
gemini,acorn,1,10,95,0.105263158
gemini,acorn,2,12,76,0.157894737
gemini,acorn,3,12,71,0.169014085
gemini,acorn,4,15,78,0.192307692
gemini,acorn,5,17,88,0.193181818
gemini,bumble,1,5,65,0.076923077
gemini,bumble,2,7,67,0.104477612
gemini,bumble,3,10,60,0.166666667
gemini,bumble,4,13,63,0.206349206
gemini,bumble,5,16,59,0.271186441
gemini,lyft,1,7,81,0.086419753
gemini,lyft,2,12,81,0.148148148
gemini,lyft,3,14,77,0.181818182
gemini,lyft,4,17,73,0.232876712
gemini,lyft,5,18,68,0.264705882
gemini,uber,1,6,58,0.103448276
gemini,uber,2,9,43,0.209302326
gemini,uber,3,11,40,0.275
gemini,uber,4,16,45,0.355555556
gemini,uber,5,16,55,0.290909091
gemini,calm,1,6,98,0.06122449
gemini,calm,2,9,101,0.089108911
gemini,calm,3,13,92,0.141304348
gemini,calm,4,13,88,0.147727273
gemini,calm,5,16,78,0.205128205
