App,3rd,4th,5th,ID,,,,,,,,,,,,,,,,,
calm,SOMEWHAT READABLE,READABLE,READABLE,27,,,,,,,,,,,,,,,,,
calm,READABLE,SOMEWHAT READABLE,SOMEWHAT READABLE,28,,,,,,,,,,,,,,,,,
calm,SOMEWHAT READABLE,EASY TO READ,READABLE,25,,,,,,,,,,,,,,,,,
calm,SOMEWHAT READABLE,SOMEWHAT READABLE,EASY TO READ,26,,,,,,,,,,,,,,,,,
calm,EASY TO READ,SOMEWHAT READABLE,EASY TO READ,K,,,,,,,,,,,,,,,,,
calm,READABLE,EASY TO READ,READABLE,L,,,,,,,,,,,,,,,,,
headspace,UNREADABLE,SOMEWHAT READABLE,SOMEWHAT READABLE,13,,,,,,,,,,,,,,,,,
headspace,SOMEWHAT READABLE,READABLE,EASY TO READ,14,,,,,,,,,,,,,,,,,
headspace,EASY TO READ,READABLE,EASY TO READ,15,,,,,,,,,,,,,,,,,
headspace,READABLE,READABLE,EASY TO READ,16,,,,,,,,,,,,,,,,,
headspace,SOMEWHAT READABLE,EASY TO READ,READABLE,O,,,,,,,,,,,,,,,,,
headspace,READABLE,SOMEWHAT READABLE,SOMEWHAT READABLE,P,,,,,,,,,,,,,,,,,
tinder,EASY TO READ,READABLE,EASY TO READ,5,,,,,,,,,,,,,,,,,
tinder,READABLE,READABLE,READABLE,6,,,,,,,,,,,,,,,,,
tinder,EASY TO READ,SOMEWHAT READABLE,READABLE,7,,,,,,,,,,,,,,,,,
tinder,EASY TO READ,READABLE,READABLE,8,,,,,,,,,,,,,,,,,
tinder,EASY TO READ,SOMEWHAT READABLE,SOMEWHAT READABLE,M,,,,,,,,,,,,,,,,,
tinder,EASY TO READ,SOMEWHAT READABLE,SOMEWHAT READABLE,N,,,,,,,,,,,,,,,,,
bumble,READABLE,READABLE,READABLE,29,,,,,,,,,,,,,,,,,
bumble,READABLE,EASY TO READ,SOMEWHAT READABLE,30,,,,,,,,,,,,,,,,,
bumble,READABLE,READABLE,EASY TO READ,31,,,,,,,,,,,,,,,,,
bumble,SOMEWHAT READABLE,EASY TO READ,EASY TO READ,32,,,,,,,,,,,,,,,,,
bumble,UNREADABLE,EASY TO READ,READABLE,A,,,,,,,,,,,,,,,,,
bumble,SOMEWHAT READABLE,READABLE,EASY TO READ,B,,,,,,,,,,,,,,,,,
uber,READABLE,READABLE,EASY TO READ,1,,,,,,,,,,,,,,,,,
uber,SOMEWHAT READABLE,EASY TO READ,UNREADABLE,2,,,,,,,,,,,,,,,,,
uber,EASY TO READ,READABLE,READABLE,3,,,,,,,,,,,,,,,,,
uber,SOMEWHAT READABLE,READABLE,EASY TO READ,4,,,,,,,,,,,,,,,,,
uber,READABLE,SOMEWHAT READABLE,SOMEWHAT READABLE,e,,,,,,,,,,,,,,,,,
uber,READABLE,EASY TO READ,SOMEWHAT READABLE,f,,,,,,,,,,,,,,,,,
